"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_1","number_of_peptides_B_2","number_of_peptides_A_2","number_of_peptides_B_1"
"76",33,35,32,34,32,35
"77",35,37,38,37,37,42
"78",31,38,28,36,32,35
"79",33,42,34,42,30,37
"80",34,41,37,38,40,41
"81",23,40,21,41,22,44
"82",37,36,32,36,33,34
"83",31,31,33,35,30,39
"84",34,37,34,34,34,35
"85",34,35,44,30,35,30
"86",35,32,34,38,32,38
"87",29,34,32,38,36,32
"88",31,35,30,32,33,29
"89",36,34,32,37,30,32
"90",44,30,38,27,35,27
"91",31,32,30,35,27,35
"92",42,37,44,37,43,37
"93",32,33,27,29,31,29
"94",37,37,33,36,29,39
"95",37,47,36,35,36,37
"96",34,34,30,33,30,33
"97",41,23,39,23,33,31
"98",37,28,34,24,32,20
"99",37,36,32,37,31,33
"100",31,33,28,34,31,33
"101",37,30,31,26,35,28
"102",34,28,28,28,25,28
"103",33,35,41,29,33,30
"104",32,38,33,38,29,36
"105",34,33,31,32,28,30
"106",28,33,28,31,26,25
"107",32,24,29,23,31,27
"108",29,31,30,30,23,30
"109",33,38,29,31,32,36
"110",35,31,33,38,34,36
"111",35,38,31,36,31,32
"112",34,38,30,28,34,35
"113",30,34,28,28,29,31
"114",27,31,28,30,28,31
"115",32,36,28,32,31,37
"116",31,31,29,30,30,31
"117",27,34,25,28,28,28
"118",38,32,37,31,39,31
"119",30,36,22,30,32,29
"120",26,32,28,28,26,24
"121",24,31,20,26,26,26
"122",27,25,29,27,22,30
"123",26,26,28,27,28,26
"124",28,33,25,29,25,30
"125",16,27,15,19,21,23
"126",28,34,26,26,27,29
"127",24,26,25,24,29,26
"128",27,26,24,25,27,32
"129",31,31,29,35,25,31
"130",30,35,28,34,28,28
"131",26,30,27,24,20,30
"132",20,26,21,19,18,22
"133",27,26,24,26,21,26
"134",29,33,28,28,27,28
"135",24,24,25,26,25,29
"136",31,27,31,26,28,24
"137",36,36,35,36,36,34
"138",26,18,26,15,25,16
"139",29,17,31,19,31,15
"140",29,32,23,32,24,29
"141",32,27,25,30,28,27
"142",24,23,26,30,22,29
"143",28,31,25,29,25,31
"144",26,27,29,27,33,25
"145",25,26,23,26,24,27
"146",23,21,25,16,29,12
"147",27,23,25,26,24,28
"148",31,33,28,32,27,32
"149",20,26,22,26,18,17
"150",27,18,26,22,29,14
"151",30,34,28,30,29,30
"152",23,29,25,23,24,28
"153",25,26,27,28,23,24
"154",27,31,27,26,28,26
"155",33,18,33,26,33,22
"156",28,29,21,22,22,28
"157",28,28,27,26,26,26
"158",25,31,25,21,23,24
"159",31,18,31,22,29,22
"160",30,31,27,27,27,28
"161",34,19,31,21,33,23
"162",23,22,22,22,26,23
"163",26,30,19,26,19,23
"164",25,25,28,23,22,29
"165",28,28,24,29,25,28
"166",9,23,11,19,11,23
"167",28,31,28,29,26,28
"168",25,14,27,18,23,16
"169",25,29,22,24,22,27
"170",27,21,23,17,25,20
"171",29,25,25,26,24,26
"172",26,29,24,24,23,25
"173",29,30,22,28,22,24
"174",31,20,27,16,25,15
"175",26,26,26,27,27,23
"176",28,30,29,29,25,26
"177",24,25,23,28,23,25
"178",24,28,26,27,29,30
"179",30,28,28,29,25,23
"180",27,26,16,23,19,24
"181",25,23,26,18,30,17
"182",27,26,24,24,29,26
"183",28,28,29,30,30,30
"184",20,27,21,26,22,23
"185",21,25,25,24,20,23
"186",23,22,19,22,22,24
"187",27,30,28,30,27,29
"188",20,20,19,21,20,22
"189",25,28,25,22,18,23
"190",26,29,21,23,23,25
"191",31,21,28,21,28,16
"192",24,24,26,27,22,23
"193",24,26,23,26,22,25
"194",22,25,21,23,22,20
"195",23,24,21,17,19,22
"196",27,21,24,20,27,19
"197",27,31,26,20,20,24
"198",22,23,20,22,20,17
"199",21,22,23,17,22,25
"200",22,23,20,20,17,23
"201",25,28,24,20,23,22
"202",31,19,21,23,28,18
"203",24,21,23,18,23,21
"204",25,14,28,17,21,19
"205",25,24,28,27,24,27
"206",26,22,22,22,22,20
"207",20,21,20,23,20,22
"208",22,21,22,20,22,21
"209",24,23,22,26,19,28
"210",23,23,18,24,17,21
"211",20,24,22,22,20,22
"212",29,20,23,22,27,18
"213",22,25,23,25,23,26
"214",21,21,20,22,21,20
"215",22,26,22,24,23,24
"216",26,24,23,19,24,20
"217",22,25,28,25,26,25
"218",26,23,19,22,22,19
"219",23,23,20,20,21,23
"220",28,14,19,16,25,15
"221",23,23,23,21,23,27
"222",20,29,20,26,21,21
"223",18,26,15,21,18,23
"224",27,26,23,25,26,23
"225",22,23,21,17,20,20
"226",23,25,23,22,24,24
"227",21,20,20,18,18,16
"228",24,19,20,12,25,16
"229",20,15,19,12,23,14
"230",16,18,15,15,19,20
"231",21,22,15,21,21,22
"232",22,28,26,24,28,26
"233",21,22,22,25,20,22
"234",25,23,18,19,19,19
"235",29,25,23,26,25,28
"236",18,20,18,17,23,25
"237",17,19,18,18,18,20
"238",21,19,17,20,23,19
"239",20,14,21,16,23,16
"240",19,23,21,23,20,24
"241",23,25,20,24,20,19
"242",19,20,20,19,17,24
"243",15,25,17,23,18,19
"244",23,24,27,13,28,19
"245",20,23,23,23,22,28
"246",14,27,13,28,10,27
"247",21,22,17,24,16,18
"248",24,10,19,6,25,13
"249",13,22,14,22,14,24
"250",20,17,19,20,20,17
"251",20,12,16,13,22,9
"252",21,25,17,21,18,16
"253",23,18,22,27,19,22
"254",22,24,24,22,23,25
"255",19,22,14,23,19,21
"256",20,23,16,20,21,20
"257",21,24,21,20,21,20
"258",23,25,16,25,17,18
"259",24,27,24,27,25,24
"260",15,19,15,10,20,16
"261",19,15,20,15,21,15
"262",18,17,19,17,15,21
"263",16,23,15,19,19,20
"264",13,8,17,15,9,18
"265",21,25,19,23,22,20
"266",14,18,18,18,16,19
"267",25,23,21,24,14,23
"268",16,25,13,16,16,16
"269",22,25,23,26,23,19
"270",20,23,19,19,18,18
"271",25,23,23,23,22,22
"272",20,21,21,20,20,20
"273",18,26,18,27,16,22
"274",18,20,16,15,20,18
"275",20,20,16,20,15,13
"276",23,23,19,24,21,22
"277",18,15,17,20,16,18
"278",24,19,17,20,19,19
"279",18,21,20,25,20,23
"280",24,19,21,19,24,16
"281",20,24,17,18,20,16
"282",21,22,23,17,16,21
"283",18,19,19,18,18,19
"284",18,21,19,20,20,18
"285",23,24,26,23,22,24
"286",20,19,18,22,16,18
"287",22,25,20,24,23,21
"288",22,17,14,20,19,20
"289",19,17,17,24,20,17
"290",19,19,20,21,18,17
"291",17,21,15,20,16,17
"292",19,19,25,18,23,18
"293",20,23,21,23,19,19
"294",23,13,22,13,19,8
"295",23,14,15,11,19,14
"296",22,14,22,19,25,14
"297",21,19,17,18,14,17
"298",16,17,13,17,16,11
"299",21,22,11,21,19,19
"300",16,23,15,19,17,18
"301",19,22,19,18,18,19
"302",16,19,15,18,16,18
"303",20,16,22,18,17,17
"304",24,23,20,23,22,24
"305",18,26,16,18,16,22
"306",19,13,18,10,16,11
"307",22,22,20,19,18,20
"308",18,17,19,23,20,21
"309",20,22,20,23,19,21
"310",23,25,16,20,15,19
"311",14,19,18,18,17,19
"312",15,17,15,13,15,16
"313",10,19,6,21,6,19
"314",20,22,17,19,18,17
"315",10,22,7,19,6,17
"316",18,20,19,21,16,19
"317",21,10,21,12,22,12
"318",18,19,19,18,16,14
"319",14,17,9,14,13,16
"320",11,19,11,20,11,19
"321",24,22,26,17,22,17
"322",17,16,16,17,15,14
"323",14,20,17,19,16,20
"324",20,24,19,21,18,17
"325",19,21,18,20,20,15
"326",21,20,21,23,24,20
"327",20,10,27,16,17,18
"328",22,19,20,19,22,16
"329",18,20,18,17,20,18
"330",17,13,20,17,24,14
"331",13,15,14,17,13,16
"332",11,23,13,21,12,21
"333",18,16,21,15,19,16
"334",16,14,17,12,19,13
"335",21,20,19,24,18,18
"336",14,17,20,19,18,19
"337",18,19,16,14,16,18
"338",18,19,12,12,12,15
"339",18,20,16,23,14,18
"340",22,22,20,23,21,20
"341",17,23,14,20,14,15
"342",21,19,22,20,22,16
"343",14,18,16,18,17,16
"344",20,23,18,20,18,21
"345",19,14,15,15,19,14
"346",21,17,14,18,13,15
"347",17,21,17,14,13,16
"348",16,19,14,17,18,18
"349",14,19,16,15,20,18
"350",20,19,19,20,17,18
"351",18,20,18,17,21,20
"352",16,18,19,19,17,19
"353",20,23,17,22,17,16
"354",19,20,21,17,17,15
"355",18,18,17,16,14,18
"356",20,20,13,17,15,14
"357",19,19,18,19,19,19
"358",21,23,19,20,20,22
"359",16,18,14,16,16,17
"360",22,21,18,16,17,19
"361",14,16,15,14,15,16
"362",18,16,20,16,25,17
"363",20,20,17,18,17,20
"364",16,15,18,17,16,19
"365",13,16,15,20,14,13
"366",16,18,18,17,15,15
"367",15,18,15,17,13,17
"368",16,19,16,17,14,14
"369",21,14,15,13,17,12
"370",13,12,13,14,10,15
"371",19,22,22,19,18,19
"372",16,19,15,14,16,16
"373",21,19,14,19,15,15
"374",14,18,14,19,19,18
"375",17,21,17,21,19,21
"376",18,8,24,13,19,10
"377",19,13,20,10,17,13
"378",16,15,21,14,19,19
"379",19,21,15,17,15,16
"380",23,21,20,19,17,20
"381",17,18,19,16,22,13
"382",18,13,20,13,17,17
"383",18,22,15,18,19,14
"384",18,16,22,17,20,15
"385",17,17,18,14,18,20
"386",20,22,19,23,18,20
"387",18,20,14,16,16,16
"388",21,18,16,10,20,13
"389",13,17,16,14,18,17
"390",15,18,17,18,21,16
"391",13,15,12,19,11,15
"392",20,25,20,20,20,19
"393",21,14,16,18,17,15
"394",15,18,16,13,15,14
"395",17,17,18,15,14,18
"396",15,17,16,16,13,15
"397",19,21,22,22,17,22
"398",20,18,17,18,20,18
"399",15,16,18,15,18,14
"400",12,15,17,17,16,19
"401",16,15,17,18,15,17
"402",13,19,16,17,12,15
"403",13,9,13,13,14,13
"404",17,15,18,18,20,15
"405",15,16,14,13,17,13
"406",18,16,15,18,18,15
"407",18,18,17,18,18,18
"408",13,13,15,16,16,16
"409",19,8,19,6,14,7
"410",15,10,18,12,18,13
"411",17,21,20,17,18,23
"412",15,17,17,14,15,18
"413",17,11,18,18,12,17
"414",19,19,13,16,17,15
"415",14,15,12,15,14,14
"416",17,18,16,17,12,15
"417",18,24,13,20,18,15
"418",16,20,15,15,18,20
"419",14,17,14,17,11,17
"420",18,13,17,16,17,14
"421",15,5,15,7,14,6
"422",16,14,16,16,19,19
"423",20,15,17,13,16,11
"424",21,20,17,16,17,16
"425",17,17,16,20,19,17
"426",16,16,19,18,12,17
"427",13,13,14,14,10,11
"428",18,13,20,16,14,15
"429",15,21,14,15,15,16
"430",16,16,15,19,16,16
"431",13,14,12,13,13,14
"432",17,15,15,16,17,18
"433",17,18,18,12,16,13
"434",13,6,18,8,15,12
"435",16,17,17,17,16,20
"436",15,16,8,14,12,13
"437",14,14,14,15,15,16
"438",18,19,16,14,17,16
"439",15,15,13,14,12,14
"440",12,13,10,13,11,14
"441",12,19,14,15,15,16
"442",17,16,14,15,13,17
"443",18,11,19,17,16,13
"444",15,20,16,17,17,16
"445",14,15,15,13,13,15
"446",19,16,18,14,20,17
"447",15,16,14,19,13,13
"448",13,13,12,18,10,15
"449",13,14,18,15,16,13
"450",19,10,15,11,16,10
"451",14,10,16,11,10,10
"452",18,17,11,16,14,13
"453",6,14,11,17,7,16
"454",13,15,17,15,17,14
"455",14,20,12,17,14,17
"456",19,18,14,18,15,13
"457",17,14,16,17,15,15
"458",18,18,19,18,18,19
"459",16,18,12,15,12,12
"460",19,17,16,18,14,19
"461",14,19,9,19,11,11
"462",14,16,15,14,13,14
"463",5,16,6,17,5,20
"464",14,16,13,14,14,14
"465",13,16,10,16,11,13
"466",14,13,13,15,16,14
"467",15,17,13,15,16,15
"468",14,18,11,11,15,15
"469",10,18,18,15,11,16
"470",16,17,14,14,16,12
"471",13,13,20,12,16,13
"472",13,16,12,15,13,17
"473",15,17,17,16,16,20
"474",11,12,9,16,12,12
"475",15,15,13,15,14,14
"476",14,13,11,15,15,14
"477",16,11,16,9,16,10
"478",15,16,12,16,11,12
"479",16,8,13,7,12,11
"480",16,9,13,9,14,9
"481",15,12,18,11,15,11
"482",20,18,17,20,18,20
"483",11,15,15,15,15,15
"484",13,16,11,14,11,15
"485",15,13,16,14,16,15
"486",11,11,10,15,12,11
"487",13,11,11,10,7,13
"488",19,13,14,16,17,14
"489",17,18,18,17,15,19
"490",15,16,15,11,9,14
"491",12,10,11,12,12,11
"492",14,18,14,16,18,15
"493",18,12,16,14,17,7
"494",13,15,12,14,16,15
"495",15,17,12,14,12,16
"496",17,9,12,12,15,13
"497",15,18,15,18,17,16
"498",15,12,14,12,13,9
"499",14,18,15,17,14,16
"500",13,15,14,11,12,16
"501",13,15,14,15,14,12
"502",11,13,11,10,10,10
"503",13,17,14,13,13,11
"504",13,12,14,20,10,7
"505",14,11,19,12,17,15
"506",15,17,10,12,11,10
"507",16,11,17,8,15,11
"508",12,14,17,13,14,12
"509",16,19,14,18,15,15
"510",15,17,9,14,11,11
"511",13,15,13,13,13,17
"512",18,16,17,15,18,15
"513",13,14,13,13,11,16
"514",17,9,15,11,13,14
"515",14,14,11,14,15,13
"516",15,14,13,14,14,15
"517",13,12,15,14,13,16
"518",12,16,13,17,16,15
"519",16,17,15,17,16,14
"520",12,17,15,12,11,12
"521",12,19,14,14,15,15
"522",12,14,9,7,13,13
"523",15,17,14,12,13,12
"524",10,8,16,8,12,13
"525",14,14,10,15,10,15
"526",12,13,14,17,11,12
"527",20,15,16,17,15,14
"528",15,14,14,15,13,18
"529",14,13,11,13,15,12
"530",16,13,14,19,14,16
"531",11,15,12,11,15,11
"532",10,10,12,13,13,12
"533",16,14,15,11,17,13
"534",11,14,10,14,13,11
"535",20,10,12,8,14,10
"536",14,12,15,13,14,12
"537",12,13,8,13,6,13
"538",13,15,13,14,15,13
"539",18,7,13,15,19,6
"540",16,13,17,13,19,15
"541",14,15,14,15,12,12
"542",13,17,16,15,16,18
"543",15,12,14,17,15,16
"544",16,17,15,16,15,19
"545",12,17,12,15,10,11
"546",13,14,12,14,11,16
"547",12,14,13,10,12,11
"548",13,9,13,10,13,15
"549",15,13,16,12,16,10
"550",15,18,15,15,17,16
"551",18,18,15,20,16,16
"552",15,13,15,16,17,17
"553",16,17,15,17,14,19
"554",17,11,17,11,12,9
"555",13,13,12,16,13,12
"556",10,10,12,9,13,9
"557",10,15,7,14,5,13
"558",15,17,11,13,14,17
"559",11,14,10,12,6,9
"560",16,12,11,13,13,16
"561",18,20,15,17,17,17
"562",15,13,15,12,11,7
"563",17,11,9,10,11,15
"564",15,10,10,11,9,15
"565",5,15,4,20,6,19
"566",13,16,14,14,12,11
"567",16,18,12,10,14,15
"568",12,15,10,13,15,14
"569",10,15,9,15,8,18
"570",14,14,9,11,13,12
"571",16,18,14,15,17,14
"572",16,17,11,15,12,14
"573",14,14,15,16,13,14
"574",13,14,11,12,12,13
"575",16,14,14,12,14,9
"576",11,15,11,12,9,12
"577",9,11,11,10,11,11
"578",14,15,10,12,12,14
"579",13,13,8,13,12,11
"580",13,13,16,13,13,11
"581",13,16,12,11,14,12
"582",16,14,17,16,16,15
"583",18,16,14,14,15,18
"584",19,6,11,12,15,5
"585",14,16,15,18,12,15
"586",14,13,11,12,11,11
"587",14,13,10,15,13,14
"588",11,10,9,9,8,8
"589",10,18,13,14,10,12
"590",13,12,9,11,13,14
"591",17,12,15,11,17,10
"592",15,12,17,13,17,15
"593",12,8,14,8,14,11
"594",14,12,14,7,15,10
"595",12,15,12,14,12,9
"596",12,15,13,13,8,15
"597",12,11,13,8,14,9
"598",15,15,14,11,13,14
"599",15,9,14,9,16,12
"600",12,12,14,13,13,8
"601",18,15,17,12,18,11
"602",16,12,13,11,16,8
"603",15,14,12,14,14,14
"604",13,13,9,14,11,13
"605",14,13,12,10,12,12
"606",12,13,12,11,11,15
"607",11,8,8,11,10,11
"608",14,15,14,13,14,15
"609",14,12,12,14,14,16
"610",13,13,14,13,11,10
"611",10,13,12,15,13,11
"612",9,13,13,12,11,16
"613",9,13,12,12,13,12
"614",11,15,12,14,13,11
"615",15,15,15,13,17,13
"616",12,13,12,12,9,8
"617",11,10,14,11,10,10
"618",13,12,9,13,10,13
"619",13,15,13,14,11,14
"620",17,14,13,10,18,9
"621",10,11,12,11,12,10
"622",10,13,12,14,15,12
"623",12,11,13,13,12,16
"624",13,14,13,14,14,15
"625",16,15,7,11,8,13
"626",10,11,5,11,7,9
"627",15,9,13,6,11,7
"628",14,10,12,12,12,11
"629",13,17,11,14,12,10
"630",11,12,12,10,9,10
"631",1,14,2,11,2,12
"632",13,15,14,13,12,15
"633",13,14,11,17,13,15
"634",14,11,13,10,12,7
"635",15,13,11,13,14,12
"636",7,15,12,14,14,8
"637",11,15,13,11,11,14
"638",14,12,13,13,11,10
"639",14,9,11,13,17,10
"640",8,11,13,8,10,12
"641",10,10,8,7,5,8
"642",13,17,12,16,16,11
"643",12,11,15,12,14,14
"644",14,11,5,12,12,11
"645",10,10,8,13,8,13
"646",13,15,10,14,14,13
"647",12,11,11,12,9,13
"648",11,12,12,10,12,14
"649",10,13,13,13,10,14
"650",16,17,15,15,13,15
"651",10,13,14,11,12,13
"652",11,17,12,13,11,11
"653",14,12,11,13,12,15
"654",7,13,14,10,12,10
"655",16,12,15,10,14,12
"656",13,13,13,13,15,14
"657",11,15,9,9,8,11
"658",15,11,10,8,13,9
"659",10,8,12,10,7,9
"660",9,6,9,12,4,13
"661",13,10,12,7,15,10
"662",13,8,17,11,14,12
"663",13,9,7,8,14,11
"664",13,11,11,13,14,12
"665",12,13,12,12,10,9
"666",11,8,10,10,9,8
"667",20,14,13,12,16,9
"668",9,12,9,12,12,13
"669",13,13,12,18,11,13
"670",14,13,12,13,9,10
"671",15,11,17,11,14,13
"672",14,12,13,11,16,12
"673",16,18,12,16,14,14
"674",11,4,10,4,12,4
"675",17,4,11,8,14,8
"676",13,15,11,12,11,12
"677",13,13,12,16,13,12
"678",11,13,9,11,10,10
"679",17,13,14,11,17,12
"680",15,14,16,14,14,13
"681",11,11,11,11,8,10
"682",12,10,12,11,11,13
"683",8,8,7,6,5,10
"684",16,16,8,12,8,13
"685",8,13,11,10,9,12
"686",13,10,11,10,11,8
"687",12,14,10,11,11,11
"688",10,11,11,9,9,14
"689",13,8,11,7,11,7
"690",14,12,14,10,16,13
"691",10,14,9,12,8,11
"692",15,9,13,8,12,9
"693",15,16,12,13,12,15
"694",9,10,14,11,7,10
"695",15,11,6,11,12,10
"696",12,12,12,12,10,11
"697",8,11,10,10,10,10
"698",13,15,13,13,14,13
"699",13,11,10,11,8,9
"700",5,11,4,14,6,12
"701",10,14,8,10,11,13
"702",12,13,11,12,12,12
"703",10,12,11,14,10,15
"704",16,16,17,14,13,18
"705",14,14,11,10,11,12
"706",8,11,11,12,11,10
"707",14,9,12,5,13,6
"708",7,9,9,12,10,10
"709",13,12,10,10,10,14
"710",9,10,11,8,10,8
"711",12,14,10,12,11,15
"712",15,14,11,15,16,12
"713",11,13,11,12,10,15
"714",13,7,10,13,12,9
"715",12,14,8,9,9,10
"716",14,12,15,15,13,14
"717",12,13,13,12,12,16
"718",13,15,10,12,10,14
"719",11,10,14,10,15,9
"720",13,8,16,8,15,7
"721",14,9,10,9,8,12
"722",16,12,12,13,9,12
"723",9,14,10,12,12,15
"724",12,13,10,11,10,12
"725",14,14,15,13,14,10
"726",15,10,14,11,15,9
"727",12,12,15,14,13,15
"728",16,18,11,13,12,12
"729",12,6,14,6,12,4
"730",13,11,8,13,10,10
"731",13,13,14,13,11,10
"732",12,13,11,15,11,11
"733",9,12,10,10,9,12
"735",9,10,11,13,9,8
"736",10,14,11,14,10,14
"737",12,11,9,7,9,12
"738",12,11,11,13,11,14
"739",11,5,10,8,10,8
"740",13,9,12,10,10,9
"741",9,16,8,9,8,9
"742",11,11,12,8,12,11
"743",12,9,10,5,12,8
"744",11,7,9,9,9,7
"745",14,11,15,13,11,10
"746",10,11,12,9,8,11
"747",14,14,15,14,12,14
"748",11,11,12,10,10,12
"749",17,14,14,16,13,14
"750",13,13,11,11,10,10
"751",7,7,10,11,9,10
"752",11,12,9,11,8,11
"753",10,12,11,14,12,10
"754",13,10,11,9,11,9
"755",14,12,11,15,9,11
"756",9,11,13,10,9,12
"757",8,14,10,11,10,13
"758",14,12,12,13,12,13
"759",12,12,14,14,9,14
"760",11,7,15,9,13,8
"761",10,14,11,9,10,9
"762",10,11,11,10,12,14
"763",10,7,12,7,12,4
"764",11,15,11,10,11,10
"765",10,9,10,12,8,9
"766",12,10,9,11,5,8
"767",10,6,12,6,12,6
"768",11,10,10,9,9,10
"769",10,9,12,10,13,12
"770",13,17,12,14,11,12
"771",9,10,8,10,12,9
"772",12,12,11,13,8,12
"773",10,9,9,8,12,7
"774",10,11,11,12,15,7
"775",4,12,4,12,5,12
"776",14,15,11,9,10,11
"777",10,10,9,10,7,8
"778",11,8,11,10,10,9
"779",10,11,9,13,12,14
"780",13,13,12,11,12,11
"781",12,4,14,2,13,6
"782",10,11,8,16,8,11
"783",14,14,9,11,10,12
"784",10,11,11,11,10,11
"785",9,8,8,9,7,6
"786",12,12,15,14,12,14
"787",14,7,10,7,10,6
"788",8,12,10,5,9,9
"789",15,15,9,11,10,10
"790",10,11,9,7,10,8
"791",9,11,8,8,8,10
"792",11,7,10,13,11,13
"793",8,10,7,8,6,15
"794",8,14,8,10,12,11
"795",13,13,11,15,11,12
"796",11,8,14,7,8,5
"797",6,13,5,10,6,12
"798",12,7,11,7,10,10
"799",15,10,12,10,12,7
"800",14,13,14,12,9,13
"801",10,15,12,10,10,10
"802",12,14,7,11,10,12
"803",15,14,9,11,8,11
"804",7,10,13,9,12,12
"805",11,9,13,9,10,11
"806",17,3,11,2,8,1
"807",11,8,12,6,13,10
"808",10,12,8,8,9,8
"809",14,12,11,11,7,9
"810",14,10,12,7,12,9
"811",12,10,10,8,11,8
"812",10,10,9,11,12,10
"813",8,12,4,6,11,8
"814",10,11,12,12,15,13
"815",13,14,12,12,11,10
"816",11,14,10,12,10,7
"817",10,12,10,12,11,8
"818",9,7,12,9,12,10
"819",10,13,10,12,12,13
"820",12,9,10,11,12,9
"821",12,10,13,14,11,13
"822",14,13,8,10,13,8
"823",11,10,11,10,9,11
"824",6,10,5,8,7,9
"825",10,11,8,10,12,9
"826",9,14,7,8,5,7
"827",11,7,10,8,11,8
"828",9,8,9,11,8,14
"829",11,12,14,13,13,11
"830",11,12,9,9,11,10
"831",12,12,11,8,12,11
"832",10,10,13,12,11,12
"833",11,4,8,4,11,3
"834",11,10,12,14,10,11
"835",14,14,12,14,14,11
"836",10,10,8,8,11,12
"837",12,9,10,9,11,8
"838",12,8,11,11,8,8
"839",10,10,7,10,11,10
"840",14,9,12,10,14,8
"841",8,7,8,8,8,10
"842",12,13,11,12,12,12
"843",10,9,11,9,10,13
"844",10,6,12,8,12,4
"845",7,11,6,7,7,10
"846",12,10,9,11,9,9
"847",2,10,6,14,3,9
"848",10,11,12,12,14,10
"849",12,11,9,10,10,10
"850",12,6,6,3,12,5
"851",11,11,11,11,9,10
"852",9,11,10,11,8,13
"853",9,10,9,9,7,12
"854",11,7,11,5,9,4
"855",8,11,7,11,10,10
"856",10,4,12,2,9,3
"857",11,12,10,9,9,13
"858",11,4,14,5,10,5
"859",10,8,13,7,13,7
"860",15,13,10,10,9,11
"861",1,11,1,11,1,10
"862",8,8,7,11,5,9
"863",9,11,11,11,7,11
"864",3,14,1,10,1,13
"865",12,6,7,5,8,4
"866",11,11,10,9,11,7
"867",13,14,11,11,11,10
"868",9,11,10,12,8,12
"869",7,11,12,8,10,9
"870",13,8,11,6,12,8
"871",13,12,7,6,4,7
"872",10,11,7,10,9,11
"873",10,13,14,10,13,11
"874",9,10,12,12,7,12
"875",10,11,10,10,10,9
"877",12,10,11,10,11,9
"878",10,10,10,11,9,9
"879",12,8,8,6,8,6
"880",10,13,12,14,11,10
"881",7,9,8,5,8,5
"882",13,7,15,10,12,8
"883",2,11,3,12,3,9
"884",13,8,9,7,7,8
"885",14,13,9,9,8,14
"886",10,10,14,12,9,14
"887",12,11,13,12,10,10
"888",14,9,8,4,10,7
"889",8,9,8,8,12,10
"890",10,11,10,11,9,11
"891",11,13,10,12,12,8
"892",10,9,11,11,7,10
"893",10,8,12,9,11,7
"894",11,8,9,7,10,8
"895",12,12,9,8,9,11
"896",14,10,11,9,10,11
"897",6,10,10,8,8,9
"898",9,10,9,9,9,8
"899",5,11,7,7,8,6
"900",10,14,12,10,10,12
"901",13,10,12,8,9,9
"902",7,13,7,11,8,13
"903",6,9,9,10,9,9
"904",9,11,10,7,9,10
"905",10,10,13,11,6,6
"906",9,11,7,5,4,7
"907",8,10,11,12,9,12
"908",12,11,13,8,9,9
"909",11,11,11,9,8,8
"910",10,11,7,11,8,10
"911",9,10,8,9,5,7
"912",10,13,9,11,11,10
"913",14,11,11,9,12,8
"914",9,7,12,9,9,10
"915",12,10,9,6,11,8
"916",11,8,7,8,10,7
"917",12,13,11,12,11,12
"918",9,12,12,9,9,6
"919",11,13,9,9,9,10
"920",14,8,12,7,14,10
"921",4,13,5,12,5,10
"922",10,11,11,9,7,11
"923",11,10,4,9,11,7
"924",7,10,8,9,7,10
"925",10,10,8,9,9,9
