"","number_of_peptides_A_3","number_of_peptides_A_2","number_of_peptides_B_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"128",4,3,6,6,5,4
"129",7,7,8,10,9,8
"130",5,7,6,6,8,8
"131",14,14,18,18,16,15
"132",19,17,20,21,18,20
"134",21,21,17,15,17,22
"135",6,5,7,7,6,5
"137",37,32,39,34,39,34
"138",20,19,26,25,27,21
"139",9,8,9,9,9,9
"140",5,6,5,6,6,7
"141",9,6,6,4,8,8
"142",12,6,11,10,6,6
"143",22,29,23,27,26,24
"144",13,16,16,14,13,12
"145",25,28,30,27,22,28
"146",28,22,28,22,27,26
"147",8,8,6,6,7,11
"148",13,9,14,10,10,9
"149",18,12,13,11,17,15
"150",3,4,3,3,3,4
"151",12,12,12,11,11,12
"152",7,5,7,5,7,7
"154",41,39,44,47,41,41
"155",31,33,37,42,37,31
"156",28,28,19,22,18,25
"159",40,42,49,42,47,43
"160",3,2,4,6,5,1
"161",5,6,7,4,7,5
"162",3,3,3,3,4,3
"164",20,18,19,18,19,22
"165",18,21,12,14,16,21
"166",9,9,5,5,5,9
"167",4,3,5,4,4,4
"168",8,8,9,7,8,7
"169",15,17,12,17,16,17
"170",23,26,28,27,28,25
"171",21,24,24,24,21,21
"172",30,33,34,34,33,33
"173",3,3,4,4,3,5
"174",6,6,5,8,6,8
"175",3,5,8,4,4,4
"176",25,26,32,28,29,25
"178",5,7,7,8,7,6
"179",33,35,38,38,30,32
"180",12,15,12,13,12,11
"181",63,59,49,52,46,65
"182",9,9,5,8,6,7
"183",15,16,16,18,15,18
"184",25,27,30,26,23,24
"185",4,2,5,3,2,4
"186",5,5,5,7,6,5
"187",19,18,17,21,16,21
"188",6,6,6,6,3,7
"189",19,18,21,21,19,16
"190",5,5,4,7,5,6
"191",6,5,5,4,4,5
"192",32,34,34,29,30,28
"193",9,11,12,11,8,9
"194",7,6,8,6,7,7
"195",9,9,9,12,10,12
"197",9,8,8,10,9,7
"198",15,14,15,13,13,13
"199",8,7,7,8,9,5
"200",5,4,5,5,6,5
"201",9,9,12,10,11,9
"202",4,4,7,7,5,6
"203",5,2,4,5,4,4
"204",2,2,2,2,2,2
"205",38,35,41,41,36,37
"207",11,9,9,14,12,11
"208",12,12,10,13,10,12
"210",5,7,6,6,10,3
"211",23,21,23,23,25,24
"212",18,17,13,19,17,13
"213",22,25,25,29,22,25
"214",9,8,7,6,5,7
"215",10,9,11,4,7,13
"216",21,24,22,20,22,21
"217",24,26,23,18,18,21
"218",32,33,43,37,30,31
"219",12,13,7,7,9,14
"220",19,16,15,18,14,15
"221",22,22,22,17,22,20
"222",7,8,4,7,8,6
"223",5,6,7,7,7,8
"224",107,106,115,107,111,113
"225",37,35,41,38,39,37
"226",45,38,39,42,46,38
"227",4,5,4,5,5,4
"228",17,15,14,19,18,14
"229",36,41,38,37,40,34
"232",28,29,30,27,27,28
"233",19,21,21,22,20,19
"234",20,18,20,19,21,18
"235",43,44,44,48,49,42
"236",31,31,33,33,30,33
"237",6,6,7,6,7,6
"238",44,43,45,45,44,39
"239",49,44,42,39,31,45
"240",8,6,10,6,5,7
"241",29,28,31,27,30,27
"242",7,7,8,6,7,8
"245",25,21,24,22,24,25
"247",18,16,12,8,8,15
"249",11,15,9,13,13,16
"250",15,17,8,11,13,12
"251",8,7,9,6,7,6
"254",31,26,32,27,32,28
"255",9,12,7,9,8,10
"256",6,5,8,9,4,5
"257",9,9,10,9,10,8
"259",6,5,3,4,3,10
"261",29,28,30,27,25,23
"264",4,5,5,4,5,3
"265",9,10,12,10,12,8
"266",11,9,12,10,12,10
"267",4,1,6,6,5,4
"268",8,5,6,7,7,8
"269",4,5,7,6,6,6
"271",5,7,7,8,9,6
"272",26,27,33,28,28,22
"274",2,2,2,3,2,2
"276",15,18,16,20,17,16
"277",21,16,22,20,22,17
"278",27,23,27,24,25,23
"281",6,8,10,7,6,5
"282",9,8,9,11,10,10
"284",23,24,30,29,22,26
"286",17,15,18,15,17,14
"287",9,11,10,11,10,11
"288",8,9,12,14,9,11
"289",20,20,23,21,19,20
"290",11,6,8,8,7,7
"291",4,4,5,4,5,4
"292",9,13,9,10,10,10
"294",4,9,9,10,7,9
"295",25,26,25,27,18,24
"296",17,16,15,16,12,14
"297",7,8,12,12,9,11
"299",11,7,6,4,4,8
"301",2,2,2,3,3,3
"302",3,3,4,4,3,4
"303",7,11,8,8,8,9
"304",3,6,5,5,4,3
"306",38,42,31,28,29,36
"307",5,5,6,7,7,6
"308",32,35,37,39,39,36
"309",5,6,6,4,7,6
"310",8,10,11,7,10,7
"311",13,15,17,16,13,16
"312",12,12,10,8,9,13
"313",8,6,5,5,4,6
"317",14,16,18,14,14,10
"318",10,10,5,7,7,9
"319",1,2,2,1,1,1
"321",5,5,4,3,5,6
"322",1,1,1,2,1,1
"325",4,3,5,5,6,5
"327",11,11,13,10,13,10
"328",22,21,15,18,20,22
"329",9,8,7,8,7,8
"331",8,9,6,6,6,7
"332",13,12,13,11,12,12
"333",4,4,4,5,6,3
"336",3,4,3,3,3,4
"337",14,12,12,12,13,11
"340",3,5,2,2,3,3
"341",3,4,4,4,3,3
"343",15,14,16,15,14,15
"345",7,6,7,5,6,5
"346",6,9,7,9,10,8
"347",23,26,24,21,23,19
"349",54,44,39,37,37,44
"350",20,18,18,15,17,25
"351",38,34,30,24,27,34
"355",3,4,2,2,4,5
"356",27,28,33,32,30,23
"358",17,16,12,10,12,15
"361",8,7,5,5,7,8
"362",22,17,20,18,18,19
"363",8,9,7,9,11,9
"364",10,9,11,11,13,9
"365",31,32,33,33,33,30
"366",11,9,10,9,11,10
"368",7,7,7,9,8,7
"369",7,5,8,6,6,6
"371",10,9,9,10,11,5
"373",14,12,8,8,8,8
"374",5,6,5,4,4,5
"375",12,13,10,7,6,13
"376",14,12,14,15,10,14
"377",11,13,9,9,8,11
"378",9,7,11,8,9,9
"379",6,7,9,11,4,7
"380",21,21,23,22,23,22
"382",6,7,5,5,4,8
"383",15,23,19,20,21,17
"384",11,13,12,11,11,12
"385",22,17,22,20,20,17
"387",5,6,6,6,6,7
"389",9,10,8,9,8,9
"390",14,9,11,14,8,9
"391",8,9,8,9,10,10
"392",12,11,13,16,14,12
"393",34,35,28,30,27,30
"394",12,13,13,12,13,8
"395",9,10,9,7,9,11
"398",5,5,4,5,5,5
"399",5,5,5,6,5,4
"401",4,4,5,6,6,7
"404",7,8,7,8,8,8
"405",8,9,6,7,8,7
"406",10,11,6,7,5,6
"407",13,12,11,9,10,13
"409",5,6,6,5,3,6
"410",3,2,3,3,3,3
"411",6,3,6,8,8,9
"412",8,7,5,5,6,3
"413",30,30,22,30,21,34
"414",10,9,10,10,9,12
"415",4,4,3,4,4,5
"416",7,7,6,7,7,7
"417",31,30,25,27,24,32
"420",8,6,7,7,6,9
"421",20,20,29,24,26,20
"422",12,16,14,14,14,10
"423",5,7,6,3,7,7
"427",7,7,7,5,4,8
"428",9,10,8,10,11,10
"431",7,6,5,5,4,8
"432",13,10,12,13,8,13
"434",35,32,37,38,39,36
"435",19,19,18,18,22,19
"437",5,5,3,4,4,5
"439",4,5,3,3,4,4
"440",6,6,5,4,6,5
"444",32,32,33,32,30,30
"445",4,3,3,3,3,3
"446",5,3,7,4,8,4
"447",6,5,7,6,4,6
"448",11,10,8,6,6,8
"449",15,19,17,17,17,19
"450",6,5,3,4,6,5
"451",5,5,3,5,3,4
"452",31,30,32,32,31,28
"453",7,5,7,7,5,4
"455",6,5,6,7,5,5
"459",31,35,23,25,23,30
"463",10,7,7,8,11,8
"465",5,7,6,9,6,7
"466",5,5,5,6,5,5
"467",17,12,18,16,13,13
"468",6,7,6,6,6,7
"469",19,13,14,19,17,16
"471",16,15,16,17,16,13
"472",9,6,10,6,6,5
"473",8,5,9,6,8,6
"475",5,4,3,4,4,5
"476",20,18,24,23,20,20
"477",8,8,7,9,9,9
"478",25,26,26,25,24,24
"479",32,31,31,34,37,33
"480",7,10,7,9,6,6
"481",9,10,11,11,12,11
"482",20,19,18,22,18,19
"483",10,9,12,9,10,10
"484",18,15,15,14,15,16
"485",33,37,39,38,37,34
"486",26,24,31,28,28,25
"489",7,10,16,14,12,8
"490",1,1,2,2,2,1
"491",14,15,10,11,10,15
"492",42,37,39,38,38,32
"495",22,22,15,13,18,18
"496",35,32,33,34,34,35
"497",26,22,26,22,25,21
"498",74,79,87,79,79,71
"501",3,5,2,6,7,6
"503",5,4,5,8,5,5
"504",11,13,7,10,8,13
"505",16,18,14,19,15,17
"506",36,36,39,33,36,34
"507",13,16,12,16,16,15
"508",31,24,28,26,24,24
"510",9,9,6,3,5,6
"511",13,12,15,11,11,9
"512",31,35,27,21,23,29
"513",15,13,15,14,15,14
"514",12,10,8,6,9,7
"517",5,5,6,4,6,5
"518",8,8,8,8,11,10
"519",10,9,9,10,6,5
"520",21,19,23,19,24,21
"521",19,21,24,23,25,26
"522",7,11,9,8,10,7
"523",7,5,14,12,10,5
"525",47,43,47,46,50,43
"526",7,13,11,8,12,11
"527",10,8,9,8,7,8
"528",9,11,9,7,8,12
"529",10,10,9,11,11,9
"530",14,9,24,25,30,9
"532",24,21,27,27,24,23
"533",33,32,34,38,34,31
"534",14,15,15,14,15,13
"535",12,10,9,8,9,8
"536",5,6,4,4,4,5
"537",19,17,15,14,15,16
"538",12,13,16,12,12,13
"539",8,9,9,12,8,7
"541",53,53,58,55,56,55
"543",24,23,15,17,19,21
"545",64,66,44,54,40,64
"546",14,16,17,19,17,9
"547",32,30,22,21,26,32
"549",9,7,6,9,5,4
"550",23,21,21,20,19,19
"551",12,17,12,14,12,13
"554",18,19,16,22,18,19
"556",13,18,20,17,16,14
"557",16,7,20,9,14,12
"560",15,13,14,13,12,14
"561",17,17,20,19,21,22
"562",61,55,45,41,38,54
"563",16,15,11,9,11,13
"565",5,5,3,4,5,4
"566",5,7,6,6,7,5
"567",12,9,13,12,11,10
"568",12,12,13,13,12,10
"569",6,6,9,10,5,7
"570",15,18,13,12,11,16
"571",6,4,6,7,7,6
"574",21,22,21,19,21,20
"575",51,45,50,49,43,47
"576",52,48,47,47,45,54
"577",12,14,14,15,16,12
"578",3,2,3,2,3,3
"579",20,22,21,21,21,20
"580",5,7,1,6,5,6
"581",33,35,39,35,34,33
"582",10,9,10,11,10,11
"584",23,18,18,17,19,20
"585",54,63,68,57,62,57
"587",7,8,3,6,9,6
"588",7,6,5,6,7,6
"590",12,10,9,10,10,8
"591",13,9,12,12,12,10
"592",19,19,20,18,20,20
"593",9,13,13,11,10,11
"594",37,38,39,39,37,39
"595",10,9,14,9,11,11
"597",15,16,14,13,15,17
"598",24,20,25,23,20,18
"600",13,15,13,14,15,16
"601",19,16,15,19,18,18
"602",40,44,31,33,31,42
"603",34,32,35,32,34,30
"604",8,8,6,5,6,6
"605",70,62,79,72,78,69
"606",8,10,9,9,9,10
"607",10,10,7,9,11,9
"608",8,8,10,9,11,6
"609",13,8,12,9,12,7
"610",20,21,25,20,21,19
"611",18,14,17,17,16,17
"614",10,10,11,12,10,11
"616",16,12,15,12,15,16
"618",65,59,68,66,65,63
"619",7,8,8,10,8,7
"620",7,5,7,6,7,6
"621",12,13,11,14,14,11
"622",9,7,8,7,5,7
"623",59,62,71,69,66,66
"624",22,20,18,18,17,22
"625",13,10,10,10,11,11
"626",16,10,21,16,17,12
"628",38,34,39,50,40,44
"629",19,17,18,18,17,13
"630",10,11,8,10,11,10
"633",8,9,7,7,9,10
"634",101,102,115,102,109,100
"635",16,20,18,18,18,15
"636",41,39,41,39,38,33
"639",15,16,18,16,15,15
"640",5,4,8,8,8,5
"641",8,8,9,8,10,9
"642",20,25,27,24,24,23
"643",21,17,22,17,16,14
"644",23,24,22,21,21,27
"645",39,37,38,42,41,35
"646",19,16,16,14,18,18
"647",20,19,20,18,19,16
"648",1,5,3,6,4,3
"649",12,11,11,12,13,13
"652",17,17,10,10,13,20
"653",9,9,5,8,6,10
"654",10,7,7,7,9,8
"655",10,13,15,16,19,12
"656",4,4,3,4,3,6
"657",25,29,30,27,24,24
"658",3,3,4,4,4,4
"659",12,12,11,13,13,13
"660",3,6,3,2,2,4
"661",15,14,13,15,16,13
"663",23,23,25,19,26,23
"665",9,7,12,13,15,15
"666",8,7,17,13,13,7
"669",11,9,8,7,7,8
"670",23,22,23,25,25,26
"671",24,24,27,25,26,23
"672",33,31,33,33,28,33
"673",8,9,10,9,10,8
"675",8,5,8,8,8,8
"677",4,4,5,3,4,5
"679",15,15,15,13,17,17
"680",15,14,13,14,13,18
"681",46,46,30,31,30,40
"682",10,13,14,16,15,12
"683",20,17,16,22,18,18
"684",9,9,5,7,4,10
"685",9,9,12,9,8,7
"686",3,3,4,4,2,3
"690",21,25,28,27,22,17
"691",5,4,7,6,6,6
"692",13,11,14,16,15,16
"693",10,9,9,10,9,9
"694",7,8,5,8,10,10
"695",9,8,8,9,8,7
"696",9,9,7,10,10,9
"697",4,9,7,7,8,6
"698",13,13,10,11,9,11
"701",9,9,15,17,18,9
"702",7,9,10,9,9,9
"703",21,15,22,18,20,17
"704",23,22,23,25,22,22
"705",31,26,19,18,20,26
"706",8,8,11,11,9,7
"707",6,5,5,5,4,6
"708",17,16,16,14,16,14
"709",20,13,14,16,13,17
"710",8,8,7,8,10,10
"711",13,11,9,8,10,14
"714",27,30,28,33,27,32
"715",14,16,16,13,16,12
"716",17,16,10,10,12,13
"719",16,14,15,15,15,13
"720",114,93,117,109,104,105
"722",6,4,5,8,5,7
"724",36,36,39,37,38,35
"725",6,8,9,14,7,9
"726",14,16,17,13,17,13
"727",14,10,15,12,10,12
"728",6,10,5,6,5,12
"729",4,9,11,10,9,12
"731",26,25,24,21,21,24
"732",45,41,43,43,41,41
"733",10,7,18,15,21,12
"734",26,24,26,28,25,26
"735",9,6,10,8,11,8
"736",49,51,48,48,53,45
"737",19,14,20,20,23,13
"739",4,10,10,11,7,8
"740",1,4,5,4,4,5
"741",56,59,64,63,57,59
"744",7,7,7,8,6,7
"745",11,12,14,14,13,14
"746",7,9,11,10,9,9
"747",7,10,9,7,12,8
"748",22,24,26,21,23,22
"749",8,8,5,6,8,7
"751",17,17,14,19,20,12
"752",27,27,28,25,23,23
"753",24,24,25,23,21,18
"754",5,7,9,10,7,5
"755",2,2,3,2,3,1
"756",14,17,21,15,15,17
"757",32,31,35,33,32,29
"758",36,32,34,36,36,30
"759",14,9,11,6,13,11
"760",9,5,8,5,9,10
"761",5,5,5,6,7,7
"762",14,12,10,10,13,10
"766",7,10,10,10,11,9
"767",4,4,4,4,4,3
"768",12,11,14,12,8,11
"769",6,5,6,7,7,6
"770",17,17,13,11,13,17
"772",40,37,37,35,38,38
"774",3,4,3,4,3,4
"775",4,3,4,3,3,4
"776",7,9,6,7,9,6
"778",15,13,15,16,18,17
"779",7,7,8,7,8,6
"780",3,5,5,7,5,5
"781",2,4,4,5,6,5
"782",13,10,8,6,7,12
"783",13,10,10,14,13,15
"785",12,6,13,13,13,9
"789",26,26,15,19,21,20
"790",29,28,26,27,32,28
"792",15,19,19,16,15,12
"793",53,49,52,51,60,53
"794",52,59,41,47,44,54
"795",5,6,6,6,6,7
"796",10,8,9,8,5,7
"799",13,11,11,10,11,10
"800",13,7,6,7,5,13
"801",10,8,7,7,6,6
"802",15,11,14,15,12,13
"803",14,10,14,8,13,13
"804",7,5,7,4,6,4
"805",8,10,7,6,9,9
"806",10,9,9,11,11,14
"807",17,16,17,15,16,16
"810",12,9,13,10,10,11
"811",16,16,21,17,17,12
"812",22,19,13,21,19,25
"814",7,10,7,5,8,10
"815",20,19,20,21,20,19
"816",17,17,19,18,18,19
"818",17,17,12,13,9,17
"820",11,10,10,9,9,13
"821",15,15,26,25,27,17
"823",5,4,3,4,5,6
"824",20,22,20,19,21,19
"825",6,6,5,5,6,6
"826",3,4,4,5,3,5
"827",8,6,3,6,2,6
"828",13,14,10,12,9,9
"829",4,5,4,3,5,5
"830",10,9,9,10,8,7
"833",19,15,17,19,19,15
"834",6,8,10,9,7,10
"835",48,46,49,46,49,44
"836",7,4,8,5,10,10
"837",4,3,3,3,3,5
"839",21,20,22,21,22,20
"840",14,17,8,11,12,15
"842",5,4,6,3,5,4
"843",18,20,26,20,23,17
"846",8,7,7,8,6,8
"847",6,5,8,6,6,4
"849",6,4,14,14,15,10
"850",22,20,20,17,23,18
"851",11,9,13,9,11,12
"852",4,4,3,2,3,3
"854",6,7,9,6,10,5
"855",11,12,14,15,17,17
"857",23,21,13,20,16,23
"859",8,8,4,5,3,5
"860",33,30,37,36,38,32
"861",9,10,10,9,10,10
"862",23,25,22,22,25,22
"863",12,10,10,11,10,8
"867",18,18,20,19,20,18
"871",16,14,17,19,17,15
"872",15,12,10,9,10,10
"873",35,33,34,37,33,31
"874",4,5,5,6,5,5
"875",13,13,11,11,11,12
"878",9,12,8,13,10,9
"883",7,6,9,5,7,7
"884",6,4,5,11,7,8
"885",20,23,22,16,18,21
"886",8,12,9,9,8,12
"890",89,75,90,83,81,87
"891",15,16,16,16,15,11
"892",21,20,22,23,23,22
"899",30,33,29,32,28,29
"901",16,15,15,15,14,16
"902",11,16,8,13,14,14
"903",41,38,43,48,39,39
"904",22,24,25,25,25,23
"905",5,5,8,12,8,8
"906",8,9,12,12,11,10
"907",9,9,9,9,10,9
"908",5,5,7,5,6,4
"909",6,3,5,7,6,3
"910",14,12,18,14,17,14
"911",11,12,13,13,14,13
"912",36,40,28,25,32,34
"913",37,32,41,37,41,39
"916",7,8,8,6,7,7
"917",30,25,30,27,27,23
"918",26,26,26,27,18,20
"923",6,6,10,9,10,5
"924",8,11,11,12,10,14
"926",9,5,10,3,5,3
"927",13,10,8,3,5,10
"929",14,13,15,14,11,11
"930",16,16,15,17,14,17
"933",20,23,17,17,16,24
"934",4,6,6,6,6,4
"935",16,15,19,20,15,19
"936",5,5,4,6,6,8
"937",22,16,16,18,18,15
"938",7,5,6,7,4,5
"939",18,20,23,19,20,21
"940",12,11,14,9,11,11
"941",5,6,5,5,4,4
"942",4,5,2,2,2,5
"943",14,16,12,15,15,13
"944",58,51,63,54,60,50
"945",5,7,6,4,7,5
"946",15,12,14,12,16,11
"947",8,6,10,9,11,9
"949",5,8,5,7,6,9
"950",7,6,5,11,10,7
"953",13,14,11,13,15,15
"954",66,67,82,70,65,67
"955",35,31,35,31,29,35
"956",7,10,9,6,10,12
"957",58,55,62,65,63,56
"958",7,6,5,5,7,6
"959",13,13,14,16,16,12
"960",8,8,10,6,7,7
"961",38,40,40,41,40,32
"962",15,13,15,16,12,14
"963",4,4,4,3,6,6
"964",34,32,38,37,32,34
"965",10,10,16,9,14,7
"971",8,9,9,9,12,10
"973",6,8,7,8,7,7
"974",22,17,25,19,21,13
"975",8,5,7,6,5,7
"976",7,7,8,6,9,6
"977",19,15,16,13,13,16
"978",27,29,26,24,25,26
"979",13,12,15,20,15,14
"981",1,4,2,3,2,2
"982",12,11,11,6,8,13
"983",18,14,14,15,12,13
"985",4,2,2,2,2,4
"986",26,26,44,48,45,27
"988",4,4,2,6,3,4
"989",6,6,4,7,3,6
"990",35,33,38,42,40,40
"991",25,23,25,21,20,21
"992",12,13,12,15,12,13
"994",12,11,10,13,13,9
"995",34,34,34,32,34,28
"996",25,26,25,29,26,29
"998",34,33,36,37,31,32
"999",13,9,15,15,12,15
"1000",43,34,39,44,43,39
"1003",18,16,24,22,28,20
"1005",14,13,17,15,12,12
"1006",12,12,9,9,10,8
"1007",11,10,9,9,9,10
"1009",5,7,5,6,8,6
"1010",4,4,4,3,4,5
"1011",12,14,18,16,15,15
"1012",13,13,10,11,9,13
"1013",13,16,7,9,11,16
"1017",6,6,6,7,5,5
"1020",14,13,10,10,11,14
"1021",17,19,20,20,22,19
"1024",11,10,4,3,3,8
"1026",7,10,7,11,9,11
"1027",64,56,51,48,40,54
"1028",3,2,4,6,4,5
"1029",11,9,12,9,11,7
"1030",10,11,14,16,13,8
"1031",28,30,30,29,30,24
"1032",15,17,17,18,13,12
"1033",10,10,11,14,13,10
"1034",6,8,11,7,6,6
"1035",17,19,20,21,20,20
"1036",11,10,10,13,10,11
"1037",33,31,37,32,34,37
"1038",28,27,38,31,31,23
"1039",24,23,26,21,25,22
"1040",19,25,22,24,25,23
"1042",7,9,8,5,6,8
"1043",12,14,15,16,14,17
"1044",27,29,25,32,26,26
"1045",6,9,14,13,12,11
"1046",9,9,7,9,8,8
"1050",8,5,14,15,16,9
"1051",50,51,60,57,59,56
"1052",21,24,25,22,24,24
"1053",28,28,28,23,27,22
"1054",16,19,16,19,20,17
"1057",28,22,31,30,25,28
"1059",11,11,10,14,12,10
"1061",23,22,21,24,20,22
"1062",19,14,20,15,17,19
"1064",7,7,7,7,7,7
"1066",19,14,30,32,30,17
"1067",46,50,52,53,48,42
"1069",7,10,7,5,7,8
"1071",26,22,26,23,23,23
"1072",18,19,21,18,17,15
"1073",9,6,8,6,7,8
"1075",9,13,12,4,10,9
"1076",20,13,18,16,17,17
"1078",9,9,8,7,7,9
"1080",3,4,3,3,4,3
"1081",36,31,34,30,32,30
"1082",6,7,7,8,9,5
"1083",4,6,6,6,6,7
"1084",32,33,23,25,23,33
"1085",38,37,25,26,29,35
"1086",24,24,26,23,23,22
"1087",18,20,18,23,20,20
"1088",26,28,30,23,28,24
"1089",34,40,25,27,24,42
"1090",22,21,20,18,23,19
"1091",5,6,6,6,6,4
"1093",23,24,30,24,23,18
"1094",11,9,21,19,19,12
"1095",3,3,2,2,3,5
"1097",19,15,20,14,16,12
"1100",5,5,6,6,5,6
"1101",10,10,9,9,8,10
"1103",9,6,6,6,9,6
"1105",16,11,11,12,9,13
"1106",8,8,14,9,10,7
"1107",37,34,39,35,36,36
"1108",4,4,5,6,6,3
"1110",12,15,14,12,14,12
"1111",28,28,29,21,28,26
"1112",22,19,14,17,16,21
"1113",26,24,21,21,17,22
"1119",11,8,13,9,8,6
"1120",11,14,13,14,14,10
"1122",14,12,17,11,13,13
"1123",9,8,8,9,8,8
"1124",19,17,21,21,24,17
"1125",10,7,8,10,7,7
"1126",13,11,11,12,13,13
"1127",10,10,12,8,8,10
"1128",9,9,11,8,9,12
"1129",16,16,16,14,15,13
"1130",5,4,5,3,4,4
"1133",21,19,23,18,15,17
"1135",42,37,49,39,42,34
"1136",9,12,10,10,9,9
"1138",24,26,24,29,23,21
"1139",20,20,14,16,13,17
"1141",4,7,16,15,15,5
"1143",20,18,17,14,17,17
"1144",6,9,5,4,5,6
"1145",7,7,6,8,6,7
"1146",17,16,13,13,12,14
"1148",16,13,15,13,14,11
"1149",13,16,24,23,22,15
"1151",24,19,10,10,11,23
"1152",13,13,10,14,12,12
"1154",4,3,4,4,4,3
"1156",10,7,9,6,9,10
"1157",10,9,9,11,9,9
"1159",18,21,27,21,24,24
"1160",13,11,11,11,12,12
"1161",4,3,4,5,4,3
"1162",17,16,15,11,16,15
"1164",8,8,8,8,8,8
"1165",30,24,30,24,27,28
"1167",10,7,6,6,5,7
"1168",14,14,19,16,16,12
"1169",10,7,6,9,8,9
"1170",25,29,35,30,32,30
"1172",17,20,22,18,18,16
"1173",24,19,16,23,17,19
"1175",10,6,7,7,7,6
"1176",22,22,19,23,23,19
"1177",5,9,11,6,10,8
"1178",14,11,15,10,8,9
"1179",5,5,4,4,4,4
"1180",15,13,12,15,12,11
"1181",6,9,14,13,12,9
"1185",16,14,14,12,10,11
"1186",18,14,22,24,20,14
"1188",11,8,12,8,10,9
"1189",11,10,14,12,15,14
"1190",29,27,16,19,19,20
"1191",21,20,21,21,21,18
"1192",13,12,14,17,16,13
"1193",32,30,26,30,26,22
"1195",12,14,13,14,13,14
"1199",9,10,10,9,8,9
"1202",8,6,16,18,15,4
"1203",5,8,5,6,7,6
"1205",21,18,18,21,22,19
"1206",16,18,18,20,20,20
"1207",9,6,7,5,7,5
"1208",8,8,5,7,5,6
"1209",15,15,15,11,11,19
"1210",14,13,13,13,18,14
"1211",6,6,6,5,4,6
"1212",7,5,7,6,7,5
"1213",2,1,2,1,2,1
"1214",9,13,7,12,7,9
"1215",8,10,7,10,10,9
"1217",10,9,8,8,9,10
"1218",7,2,7,5,7,4
"1219",3,4,5,5,4,4
"1220",20,18,21,21,24,20
"1221",26,28,25,28,22,23
"1222",9,5,9,6,8,8
"1224",19,20,20,16,19,20
"1225",6,6,6,7,6,5
"1226",5,7,3,6,3,4
"1227",5,6,4,6,6,6
"1228",10,7,9,9,13,10
"1229",2,2,3,3,3,3
"1232",21,16,11,12,12,16
"1233",14,14,14,16,15,15
"1234",23,25,26,29,25,26
"1235",14,20,22,19,18,19
"1237",4,3,6,4,3,5
"1238",19,15,17,17,18,15
"1239",8,6,3,1,2,7
"1242",3,2,2,2,2,4
