"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"141",4,4,4,4,4,4
"142",2,2,1,2,2,2
"143",2,2,2,2,2,2
"144",12,13,13,12,12,12
"145",8,8,7,7,8,6
"146",7,7,8,7,7,7
"147",16,15,15,15,15,14
"148",7,7,8,8,7,8
"149",6,7,7,6,6,5
"150",2,3,3,3,3,3
"151",9,8,9,8,9,9
"152",6,4,4,5,4,3
"153",2,4,2,4,3,3
"154",4,3,3,2,3,3
"155",10,10,9,8,10,11
"156",3,2,3,2,2,2
"157",23,21,22,23,23,18
"158",13,12,14,12,11,12
"159",5,6,6,6,6,6
"160",2,3,3,3,2,3
"161",2,1,1,1,1,1
"162",18,18,17,18,18,15
"163",11,10,8,7,8,7
"164",1,2,1,1,1,2
"165",13,13,13,13,13,14
"166",6,6,6,8,7,7
"167",4,3,3,2,3,3
"168",25,23,21,23,21,21
"169",3,3,2,3,4,3
"170",6,6,8,8,8,5
"171",17,15,18,16,17,13
"172",16,14,14,15,14,14
"173",5,5,5,6,6,5
"176",4,4,4,4,4,3
"177",8,6,6,5,7,5
"178",6,5,5,5,4,5
"179",8,7,9,9,7,8
"180",2,2,2,2,2,2
"181",11,9,11,8,8,8
"182",7,5,8,6,6,5
"183",25,24,25,22,24,25
"184",3,2,1,3,1,1
"185",9,10,9,9,10,9
"186",6,6,5,5,4,6
"188",6,8,7,9,8,8
"189",8,7,8,8,8,8
"190",2,2,2,2,2,2
"191",4,4,4,4,3,4
"192",6,4,6,6,6,5
"193",16,15,18,15,15,16
"194",6,6,6,7,6,6
"195",8,7,7,8,8,7
"196",2,2,2,2,2,2
"197",2,2,4,3,1,1
"198",9,9,8,10,9,10
"199",9,5,8,8,7,7
"201",11,9,14,9,10,11
"202",6,7,6,6,7,7
"203",14,14,15,14,15,14
"204",5,7,6,6,7,7
"205",3,3,2,5,3,4
"206",3,4,3,4,4,4
"207",14,15,14,15,14,15
"208",12,9,10,9,11,9
"209",7,4,4,7,5,6
"210",6,8,7,9,7,5
"211",12,11,12,12,12,12
"212",5,6,5,6,5,5
"213",9,8,8,6,7,6
"214",3,3,3,3,3,3
"215",2,1,1,1,2,1
"217",2,2,2,2,2,2
"218",6,7,8,7,6,7
"219",2,2,2,2,2,2
"220",9,9,9,9,9,8
"221",2,1,2,1,2,2
"222",2,4,2,5,4,4
"223",7,6,5,8,6,6
"224",10,10,8,9,8,7
"225",5,3,4,2,3,2
"226",7,7,7,7,7,7
"227",35,35,36,32,35,34
"229",8,9,10,12,10,11
"230",11,10,9,10,11,10
"231",27,26,26,24,25,25
"232",9,4,4,7,7,5
"233",4,4,4,4,4,4
"234",2,1,2,2,2,2
"235",1,1,2,1,1,2
"237",6,5,6,6,6,7
"238",5,4,4,5,4,4
"239",3,3,3,2,3,3
"240",7,7,7,7,7,6
"241",6,6,4,7,5,6
"242",2,3,2,2,2,2
"243",4,4,4,4,4,4
"244",2,4,6,5,4,5
"245",12,11,10,12,11,9
"246",2,1,2,3,3,1
"247",2,2,1,2,2,2
"248",2,2,2,2,2,2
"249",6,6,6,6,6,6
"250",2,3,2,2,1,2
"251",5,4,4,4,5,5
"252",14,13,15,12,16,16
"253",2,1,2,2,2,2
"254",4,4,4,3,4,4
"255",12,11,11,11,11,11
"257",13,12,13,14,12,10
"258",7,8,9,8,8,7
"259",1,1,1,2,1,1
"260",9,8,12,8,9,7
"261",4,6,6,5,4,6
"262",1,1,2,1,1,2
"263",8,6,6,7,7,5
"264",3,5,4,5,4,5
"265",6,6,4,6,7,6
"266",6,7,7,6,7,7
"267",7,5,6,6,6,5
"268",3,2,1,4,4,1
"269",3,3,3,5,4,5
"270",3,3,3,2,2,2
"271",1,2,2,2,1,2
"272",3,4,3,4,3,4
"273",22,20,20,21,20,21
"274",7,6,7,8,6,6
"275",5,2,5,4,4,4
"276",7,5,4,5,5,5
"277",2,2,2,2,2,2
"278",12,14,13,12,10,13
"279",17,17,17,17,16,17
"280",1,2,2,3,1,1
"281",1,2,2,1,2,2
"282",19,16,21,20,20,18
"283",7,6,4,6,6,7
"284",17,8,11,8,11,9
"285",19,16,19,18,17,15
"286",4,2,3,3,3,2
"287",2,2,2,2,2,2
"288",8,9,9,9,8,9
"290",23,23,24,23,23,23
"291",12,9,9,10,10,10
"292",13,13,13,13,13,13
"293",10,10,10,10,10,10
"294",4,4,4,3,4,4
"296",6,6,6,7,6,6
"297",2,2,1,2,1,1
"298",2,2,2,2,2,2
"299",4,4,4,4,5,4
"300",10,8,8,9,7,8
"301",3,2,3,3,2,2
"302",4,2,3,1,1,2
"303",4,3,3,4,3,3
"304",6,6,6,7,6,7
"305",14,15,10,14,16,10
"306",2,2,2,2,2,2
"307",14,12,12,13,14,12
"308",4,4,3,4,4,3
"309",1,2,2,1,1,2
"310",8,9,8,9,8,8
"311",4,3,4,5,5,5
"312",6,4,5,4,5,4
"313",4,4,3,4,5,4
"314",2,1,1,1,1,2
"315",2,2,2,2,2,2
"316",2,2,2,2,2,2
"317",8,9,9,9,9,9
"318",13,11,12,12,12,13
"319",44,47,47,47,45,45
"320",2,3,3,2,2,3
"321",2,2,2,1,2,1
"322",6,4,6,5,5,5
"323",6,6,7,5,4,4
"324",2,2,2,2,2,2
"325",9,9,9,9,9,8
"326",4,4,4,4,4,4
"327",19,19,19,19,20,18
"328",1,1,1,2,1,1
"329",2,2,3,2,2,2
"330",8,9,9,9,8,9
"331",4,2,4,3,5,2
"332",4,5,5,6,6,2
"333",8,8,7,7,8,7
"334",3,5,3,4,5,4
"335",7,8,8,8,9,8
"336",20,19,17,22,21,16
"337",14,12,14,13,13,12
"338",3,4,3,3,4,3
"339",4,3,2,3,3,2
"340",3,4,5,4,4,4
"341",4,4,4,3,3,2
"342",12,10,13,11,13,10
"343",4,2,4,2,2,2
"344",7,6,5,6,7,5
"345",3,4,4,3,3,4
"347",1,2,1,2,2,2
"348",7,7,4,4,4,4
"349",20,20,19,20,22,19
"350",14,19,18,15,16,20
"351",8,8,8,9,6,7
"352",11,9,11,10,12,9
"353",14,13,16,17,15,14
"354",16,17,16,18,18,16
"355",1,1,1,1,1,1
"356",3,3,2,2,1,1
"357",6,6,6,7,4,6
"358",4,5,3,3,2,4
"359",18,14,18,18,18,17
"360",2,1,2,1,2,1
"361",1,1,2,1,1,1
"362",4,2,3,3,3,3
"363",9,9,8,9,8,8
"364",1,2,1,1,1,2
"365",33,25,25,31,31,29
"366",2,2,2,2,2,2
"368",4,3,2,2,3,3
"369",17,17,17,14,17,16
"371",6,7,6,5,6,6
"372",7,8,7,7,8,6
"373",7,7,6,5,8,4
"374",12,9,9,10,11,10
"375",8,7,8,8,9,7
"376",11,9,10,11,9,10
"377",26,24,24,22,23,23
"379",2,2,2,2,2,2
"381",5,4,4,3,4,3
"382",1,1,1,1,1,2
"383",14,13,12,15,13,13
"384",27,28,26,27,28,28
"385",3,5,5,4,4,5
"386",9,10,8,9,9,9
"387",9,9,8,11,8,9
"388",2,2,2,3,3,3
"389",3,3,3,3,3,3
"390",3,2,2,2,1,3
"391",3,2,2,4,2,3
"392",1,2,1,3,1,3
"393",1,1,1,1,1,2
"394",4,3,3,4,4,2
"395",21,20,22,22,22,21
"396",8,6,7,9,8,8
"397",12,9,10,11,10,9
"398",3,3,2,2,3,1
"399",6,6,5,6,7,6
"400",8,8,7,7,8,8
"401",11,7,10,11,10,10
"402",24,24,23,26,23,25
"403",1,1,1,1,1,2
"404",3,3,2,3,3,3
"405",2,1,2,1,2,1
"407",7,6,7,9,7,5
"408",6,7,6,5,6,5
"409",2,2,2,2,2,2
"410",6,6,5,6,6,7
"411",2,2,2,2,2,2
"412",4,4,4,5,4,4
"413",9,10,9,9,9,9
"414",1,1,1,2,1,1
"415",4,7,8,7,7,7
"416",5,4,4,5,4,3
"417",7,8,7,7,8,8
"418",2,2,2,2,2,2
"420",11,11,10,10,11,13
"421",4,5,4,5,5,5
"422",51,51,52,52,52,53
"423",2,2,1,2,1,2
"424",2,3,1,3,3,2
"425",8,8,6,7,7,7
"426",15,15,15,13,11,13
"428",8,6,5,8,6,6
"429",16,14,16,14,14,16
"430",2,1,2,3,1,1
"431",5,6,5,3,6,3
"432",3,3,5,3,3,4
"433",7,9,8,8,7,7
"434",2,2,1,2,1,1
"435",8,9,9,9,8,8
"436",1,1,2,1,1,1
"437",4,4,4,3,4,4
"438",7,9,7,5,8,6
"439",7,5,5,6,5,5
"440",3,4,4,4,4,5
"441",5,3,5,4,5,5
"442",3,3,3,3,3,3
"443",5,6,5,7,5,8
"444",2,1,1,1,2,1
"445",6,4,5,5,5,3
"446",2,2,2,2,2,2
"447",33,32,32,31,31,32
"448",26,27,29,31,26,30
"449",4,4,4,4,4,4
"450",3,1,1,2,2,3
"451",4,3,3,3,4,4
"452",3,3,3,3,3,2
"453",5,5,5,5,5,5
"454",55,54,54,52,54,57
"455",7,5,7,5,6,5
"456",1,1,2,2,2,1
"457",6,7,7,6,6,5
"458",4,3,3,5,4,4
"459",2,3,3,2,2,3
"460",21,22,23,19,22,22
"461",12,13,11,12,12,11
"462",4,3,4,5,5,3
"463",1,1,2,2,2,2
"464",3,3,3,3,2,2
"465",2,3,3,1,2,2
"466",11,11,11,11,11,10
"467",13,13,13,13,13,13
"469",7,7,7,6,7,6
"470",13,11,13,9,11,12
"472",3,4,3,3,3,4
"473",5,7,7,6,6,6
"474",4,4,3,2,3,3
"475",9,6,8,6,7,6
"476",2,3,3,2,3,3
"477",7,7,7,6,6,7
"478",14,12,11,12,13,12
"479",3,3,3,3,3,3
"481",10,10,10,10,10,10
"482",10,11,9,10,11,11
"483",8,8,8,8,11,7
"484",6,6,6,6,6,6
"485",7,7,6,7,7,7
"486",15,16,16,16,14,16
"488",1,2,2,3,2,3
"489",18,17,17,17,18,18
"490",19,18,17,18,18,18
"491",6,6,3,6,7,6
"492",9,12,12,14,12,13
"493",2,1,2,1,2,1
"494",3,3,1,3,1,4
"495",6,4,5,6,5,4
"496",2,2,1,1,2,1
"497",8,7,8,9,10,8
"498",4,3,3,4,2,2
"500",23,20,23,22,22,21
"501",6,6,6,7,7,6
"502",6,6,6,6,6,6
"503",3,2,2,3,2,3
"504",4,5,2,5,3,4
"505",6,5,4,5,5,3
"506",22,20,18,20,17,18
"507",4,4,3,3,4,3
"508",13,14,16,14,9,14
"509",8,8,7,9,7,8
"510",7,4,5,4,5,4
"511",7,5,5,6,4,7
"512",4,4,3,4,4,4
"513",13,11,11,13,12,11
"514",1,2,1,2,2,2
"515",2,1,2,2,3,2
"516",2,2,2,2,2,2
"517",16,18,18,17,18,17
"518",10,11,8,12,11,10
"519",3,2,2,1,3,3
"520",8,9,9,8,5,8
"521",11,9,12,10,12,8
"522",2,2,2,2,2,2
"523",4,3,4,3,3,3
"524",2,2,1,2,1,2
"525",8,6,9,6,7,7
"526",18,15,18,15,18,16
"527",5,5,4,5,6,6
"528",17,19,19,19,20,20
"529",1,1,2,2,1,2
"531",4,2,2,2,3,1
"532",9,10,10,11,11,10
"533",3,4,4,4,3,3
"535",11,10,7,10,10,7
"536",7,9,8,8,7,8
"537",6,6,6,5,6,5
"539",6,5,5,5,6,5
"540",7,6,6,7,6,6
"541",8,6,6,6,4,5
"542",4,5,4,4,3,3
"543",3,2,3,3,1,2
"545",15,10,15,13,8,16
"546",1,1,2,2,2,1
"547",1,2,1,1,1,1
"548",5,5,4,5,5,5
"549",2,1,2,1,1,1
"550",5,6,5,7,5,4
"551",7,8,8,7,8,8
"552",9,9,8,10,9,10
"553",3,2,3,2,3,3
"554",16,15,15,18,17,16
"555",8,7,6,7,7,7
"556",6,5,5,6,6,5
"557",31,26,27,23,27,28
"558",11,10,11,13,11,10
"559",7,6,7,7,8,5
"560",4,3,4,3,3,3
"561",8,6,6,6,6,5
"562",6,6,5,5,5,6
"565",16,15,16,16,15,15
"566",2,2,2,3,3,3
"567",10,9,8,10,7,11
"569",3,3,3,3,3,4
"570",2,1,1,3,2,2
"571",3,2,3,2,3,2
"572",3,4,2,4,3,3
"573",2,3,3,3,2,2
"574",2,2,2,1,1,2
"575",6,4,5,6,4,6
"576",7,4,8,6,6,5
"578",12,11,12,10,10,11
"579",1,2,1,2,1,1
"580",1,2,2,1,1,2
"581",15,17,17,16,16,16
"582",14,7,6,13,14,10
"583",2,1,3,2,2,1
"584",4,4,4,4,4,4
"585",15,17,17,15,16,17
"586",10,10,10,10,9,10
"587",15,15,14,16,16,16
"588",6,3,6,4,5,4
"589",4,4,3,3,4,4
"590",12,12,12,11,11,11
"591",2,2,2,2,2,2
"594",6,5,6,6,6,5
"595",9,9,9,9,9,9
"596",4,3,4,3,2,3
"597",6,3,2,5,5,2
"598",3,1,2,1,2,1
"599",15,15,15,14,15,15
"600",9,6,9,6,8,6
"601",8,8,8,7,6,8
"602",9,7,8,8,9,9
"603",9,3,4,8,8,4
"604",4,4,3,4,2,2
"605",1,2,3,2,1,3
"606",23,23,23,23,23,23
"607",20,20,20,20,20,20
"608",23,23,24,23,23,23
"609",5,6,6,6,5,6
"610",1,1,1,2,2,1
"611",4,3,4,2,2,3
"612",3,3,4,4,4,4
"614",16,20,20,20,19,21
"615",9,9,9,8,9,8
"616",12,12,11,10,9,11
"618",6,9,7,4,6,8
"619",4,8,6,7,3,7
"621",9,9,10,10,9,9
"622",22,22,22,22,21,22
"623",14,16,15,13,13,16
"625",8,9,9,9,9,9
"626",10,10,10,10,10,10
"627",3,1,1,4,4,1
"628",6,3,2,7,5,1
"629",13,19,17,12,11,17
"634",3,3,2,4,3,3
"635",5,5,5,6,6,5
"636",4,6,6,4,4,5
"637",11,11,11,11,11,11
"638",1,1,1,1,1,1
"639",12,12,12,11,12,11
"640",2,1,2,1,1,2
"641",4,4,4,4,4,4
"642",3,3,2,3,3,3
"643",5,4,4,4,4,4
"644",5,6,6,5,5,6
"645",4,5,5,5,5,5
"646",6,6,5,5,6,6
"647",2,2,1,3,3,2
"648",34,33,34,33,34,34
"649",48,49,48,44,49,47
"650",4,7,6,5,5,7
"651",2,2,1,2,2,1
"652",29,29,30,28,29,27
"653",4,5,5,4,4,5
"655",14,12,12,14,14,13
"656",3,5,6,3,4,5
"657",10,10,10,10,10,10
"660",2,2,2,2,2,1
"661",4,6,8,2,1,7
"662",15,15,16,16,15,14
"663",7,10,9,9,8,11
"664",10,14,14,8,8,14
"665",22,21,21,21,22,21
"666",4,4,4,3,2,4
"668",5,5,5,5,5,5
"669",21,21,21,21,21,21
"670",19,23,21,21,22,23
"671",16,15,15,15,13,15
"672",10,10,11,10,10,11
"673",12,12,12,12,12,12
"674",2,4,3,4,3,4
"675",5,5,5,4,5,5
"676",4,4,4,4,4,4
"677",7,6,8,6,8,6
"678",8,9,9,9,9,9
"679",12,14,16,12,12,15
"680",17,19,18,15,16,20
"682",17,18,17,17,16,19
"683",15,16,16,15,15,17
"684",11,10,11,10,9,10
"686",12,13,12,11,11,13
"687",6,5,4,6,6,6
"688",3,2,3,3,4,3
"689",7,4,7,6,7,5
"690",1,1,1,1,1,1
"691",2,2,2,2,2,2
"692",23,25,23,23,25,24
"693",19,20,19,18,18,20
"694",2,1,3,2,3,1
"695",11,4,4,12,12,4
"696",6,7,7,7,7,7
"697",3,3,3,2,3,3
"698",4,4,3,4,4,4
"699",3,3,3,2,2,3
"700",18,17,15,18,17,17
"701",8,9,9,9,8,9
"702",3,3,3,3,3,3
"703",4,4,4,4,4,4
"704",4,3,3,2,4,4
"705",5,6,6,3,5,6
"707",2,2,2,2,2,2
"708",7,6,7,7,7,7
"709",12,11,11,12,11,12
"710",4,3,4,3,4,3
"711",6,8,9,5,5,8
"712",22,22,22,22,21,22
"713",17,21,21,17,17,19
"714",7,8,8,8,8,8
"715",8,8,9,8,8,8
"716",1,1,1,1,1,1
"717",7,7,8,7,7,7
"718",4,5,4,4,4,4
"720",5,6,6,6,5,6
"721",2,3,2,2,3,3
"722",10,12,12,11,10,12
"723",1,1,1,1,1,1
"724",7,7,8,7,7,8
"725",3,2,3,2,2,3
"726",13,13,12,13,11,12
"727",4,3,4,4,4,2
"728",5,6,8,7,7,7
"729",8,11,12,12,8,13
"730",22,27,27,21,20,23
"731",5,9,8,5,5,9
"732",9,11,10,10,11,10
"733",14,15,15,13,15,15
"734",19,19,19,18,19,19
"736",6,8,8,8,4,7
"737",5,5,5,5,5,5
"739",2,2,3,2,2,2
"740",4,4,4,5,5,3
"741",16,15,15,16,15,16
"742",20,19,20,19,20,20
"744",10,11,10,10,10,12
"746",5,6,6,6,6,6
"747",23,24,24,23,23,23
"748",17,24,25,23,21,26
"749",18,17,18,17,19,18
"751",12,13,12,13,13,13
"752",3,3,3,3,3,3
"753",5,5,5,5,5,5
"754",1,3,2,1,1,3
"755",1,3,3,2,1,4
"757",6,8,6,5,5,6
"759",6,6,6,6,6,6
"760",8,2,3,6,8,1
"762",4,4,4,4,4,4
"765",39,45,50,39,33,43
"766",7,10,9,8,7,8
"767",5,7,6,4,3,4
"768",11,11,10,11,11,11
"769",10,12,12,13,10,13
"770",17,17,19,19,18,20
"771",22,23,25,21,21,22
"772",20,20,20,16,16,21
"773",6,6,7,6,5,7
"774",13,17,16,15,15,16
"775",8,8,9,9,8,9
"776",9,9,9,8,8,9
"777",46,52,57,48,47,56
"778",3,5,4,4,3,4
"779",11,15,15,10,11,15
"780",8,11,10,10,9,9
"781",2,4,4,2,3,3
"782",7,8,8,7,7,8
"783",1,2,4,3,2,4
"784",2,2,3,3,3,2
"785",1,3,5,1,1,3
"787",10,11,9,8,9,11
"788",7,7,7,7,7,7
"789",8,8,8,8,7,8
"790",14,15,15,15,14,15
"791",3,3,3,3,2,4
"792",7,4,6,5,7,7
"793",4,5,6,1,3,5
"795",21,21,21,21,21,20
"796",21,22,21,23,19,18
"797",8,5,5,8,6,7
"798",5,5,5,4,5,5
"799",7,7,7,8,7,7
"800",5,5,5,5,6,4
"801",3,8,5,4,3,6
"802",4,5,4,4,4,5
"803",8,8,8,8,8,8
"804",8,7,7,8,7,7
"805",22,26,28,22,21,23
"807",56,54,56,58,54,55
"808",5,5,3,6,5,6
"809",24,23,24,24,23,24
"810",11,11,11,10,11,10
"811",4,4,3,4,4,4
"812",1,3,2,3,2,1
"814",18,17,18,17,16,18
"815",5,6,7,6,5,6
"817",2,2,1,2,2,2
"818",3,3,3,3,3,3
"819",12,13,13,12,12,11
"820",12,7,7,13,12,8
"821",6,4,6,4,5,3
"822",40,40,40,39,39,40
"823",2,4,2,4,3,4
"824",20,20,19,21,18,20
"826",14,15,15,15,13,14
"827",6,6,6,4,3,4
"828",1,2,2,1,1,2
"829",2,6,5,3,4,6
"830",6,9,8,8,8,9
"831",6,6,7,6,6,6
"832",15,16,20,14,15,19
"833",5,5,5,5,5,6
"834",15,15,12,16,17,13
"835",3,2,2,1,4,1
"836",11,13,12,11,10,13
"838",27,25,26,25,26,24
"839",3,3,4,3,3,3
"840",7,7,7,7,6,7
"841",3,3,2,3,3,3
"842",11,9,10,10,8,11
"843",5,1,2,6,6,1
"844",12,11,11,11,11,11
"846",1,3,1,3,3,2
"847",8,8,8,7,7,7
"848",9,9,11,8,9,9
"849",4,6,4,6,4,2
"850",4,3,2,3,3,4
"851",6,4,6,4,3,5
"853",10,10,10,10,10,10
"854",3,4,4,4,2,4
"855",2,2,2,2,2,2
"856",15,9,6,14,14,9
"857",7,7,7,7,7,7
"858",9,5,5,11,10,8
"859",4,5,5,5,5,5
"860",8,8,9,9,7,9
"861",20,25,25,25,21,23
"862",2,2,3,1,4,3
"863",1,1,2,1,1,1
"864",2,2,2,2,1,1
"865",3,2,3,3,3,3
"866",4,4,4,4,4,5
"867",6,2,3,8,5,2
"868",11,10,11,13,11,12
"869",10,12,11,8,8,10
"870",15,15,15,15,15,15
"871",9,9,9,9,9,9
"873",9,8,9,7,8,8
"874",2,4,4,4,4,4
"875",31,33,31,33,31,32
"876",5,4,5,6,6,4
"877",11,11,11,11,11,11
"878",12,13,11,13,13,11
"879",19,19,19,19,19,19
"881",2,2,2,2,2,2
"882",8,2,4,5,8,3
"883",21,17,20,21,20,18
"884",14,11,10,17,15,12
"885",4,4,4,4,4,4
"887",7,3,3,8,10,4
"890",21,17,16,22,22,17
"892",12,10,10,12,12,9
"893",10,6,7,10,10,8
"894",2,1,1,3,3,2
"896",2,1,1,2,2,1
"897",18,13,13,19,19,12
"901",7,5,6,6,7,4
"903",9,7,7,7,8,6
"905",14,5,4,12,12,6
"908",4,2,2,4,3,3
"909",4,2,1,5,5,1
"910",3,2,3,2,3,2
"911",4,4,4,4,4,4
"912",2,1,2,1,2,1
"913",6,4,5,6,5,4
"914",3,2,1,3,3,2
"915",2,1,1,2,2,1
"916",6,4,2,7,7,4
"917",3,1,3,3,3,3
"919",2,1,2,2,2,1
"920",6,2,4,4,6,3
"922",3,1,2,3,3,2
"923",3,2,2,2,3,2
"924",1,1,1,3,3,1
"925",7,3,4,6,6,4
"926",4,4,4,5,4,4
"927",5,3,4,6,6,3
"929",5,4,4,5,6,3
"930",4,3,2,3,4,2
"932",7,4,4,7,7,3
"935",7,6,5,7,7,7
"936",13,11,10,11,11,9
"937",12,5,3,10,10,6
"938",21,19,18,22,22,17
"940",4,4,3,4,5,3
"941",6,5,5,6,6,5
"943",12,6,7,13,13,6
"945",4,1,3,4,4,2
"947",3,2,2,4,4,1
"951",2,1,2,4,2,1
"952",13,2,2,14,14,4
"954",5,3,3,5,4,2
"955",7,5,5,7,7,5
"956",4,2,2,3,4,2
"959",1,2,1,2,2,2
"960",14,10,10,14,13,10
"961",7,2,4,6,5,3
"963",16,10,10,14,14,9
"965",3,2,1,4,4,1
"968",3,3,1,5,4,2
"970",11,4,7,10,10,5
"973",19,13,10,17,18,11
"976",4,3,3,3,4,3
"977",3,2,1,3,3,2
"979",4,3,2,4,4,3
"981",2,1,1,2,2,1
"984",7,4,5,4,6,4
"987",9,5,4,11,11,4
"988",6,1,1,6,7,2
"990",6,4,5,6,7,2
"991",10,6,6,10,9,6
"992",4,2,2,4,4,1
"993",9,7,8,8,9,6
"997",15,5,4,15,14,6
"998",15,6,9,14,15,9
"1003",4,1,1,4,4,2
"1005",3,2,2,3,4,2
"1006",4,3,4,4,4,3
"1007",3,1,3,2,3,2
"1008",6,6,6,6,6,6
"1010",5,1,3,4,4,1
"1013",13,6,6,12,12,9
"1015",6,2,2,6,5,3
"1020",2,1,1,1,2,2
"1022",7,5,5,7,7,6
"1024",2,1,1,1,1,1
"1026",11,8,7,10,10,9
"1029",8,4,4,8,7,5
"1031",9,8,6,9,9,5
"1032",5,1,2,2,4,1
"1036",3,1,1,2,1,1
"1037",13,11,10,15,15,12
"1038",2,1,1,2,2,1
"1039",7,3,1,8,4,2
"1041",11,3,3,11,10,4
"1042",5,4,4,5,5,3
"1043",8,1,2,8,7,1
"1044",7,5,5,7,7,5
"1046",2,1,1,3,3,1
"1047",2,2,2,2,2,2
"1048",8,3,3,5,8,2
"1049",1,1,1,1,2,1
"1050",15,9,10,14,14,7
"1054",10,4,6,7,8,4
"1055",2,1,1,1,1,1
"1057",2,2,2,2,2,2
"1058",4,4,4,4,4,4
"1059",3,3,3,3,3,3
"1061",5,5,5,5,5,5
"1062",3,3,3,3,3,3
"1063",6,6,6,6,6,6
"1064",6,6,7,6,7,7
"1065",2,2,2,2,2,2
"1066",18,14,12,17,17,13
"1067",1,2,2,1,1,1
"1068",21,22,22,20,21,21
"1069",4,4,4,4,3,4
"1070",7,8,8,8,7,7
"1071",4,3,4,4,4,4
"1072",3,3,4,4,3,4
"1073",6,6,6,5,6,5
"1074",10,12,12,11,11,12
"1075",9,9,9,9,8,9
"1076",5,5,5,5,5,5
"1077",5,6,5,5,5,5
"1078",5,5,5,5,5,5
"1079",6,6,7,6,5,7
"1080",9,9,9,8,9,10
"1081",5,7,6,5,6,6
"1082",6,6,6,6,6,6
"1083",4,4,4,4,4,4
"1084",10,10,10,10,10,10
"1085",6,5,6,6,5,6
"1086",4,4,4,4,4,4
"1087",2,2,1,1,2,2
"1088",1,2,2,2,2,2
"1089",27,27,27,27,28,27
"1090",7,6,6,6,6,6
"1091",3,4,3,4,4,3
"1092",4,2,1,4,4,1
"1093",6,8,8,8,6,8
"1094",13,11,12,10,10,11
"1095",12,7,12,9,8,9
"1096",2,2,2,2,2,2
