"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_B_1","number_of_peptides_A_1","number_of_peptides_B_2"
"82",4,3,15,3,3,3
"83",9,14,7,7,7,8
"84",29,33,27,29,26,27
"85",9,8,8,8,5,10
"86",5,5,1,3,0,3
"87",4,6,10,6,4,8
"88",110,120,99,127,111,116
"89",16,19,16,18,18,18
"90",4,3,2,3,2,2
"91",1,1,2,2,2,2
"92",1,2,1,1,1,2
"93",16,14,12,14,17,13
"94",9,9,10,10,9,11
"95",49,50,42,48,14,47
"96",25,22,18,18,13,23
"97",11,15,14,12,13,15
"98",7,7,4,6,5,4
"99",3,3,2,2,2,3
"100",6,9,8,10,8,10
"101",6,5,3,6,6,5
"102",3,6,5,5,2,4
"103",3,5,5,4,5,5
"104",7,12,7,7,8,6
"106",6,5,7,6,4,5
"107",33,40,35,35,31,35
"108",19,20,13,15,18,15
"109",5,6,4,5,7,9
"110",5,3,2,6,5,4
"111",0,1,1,3,2,1
"112",26,27,25,27,22,25
"113",12,7,6,8,7,6
"114",1,4,0,1,1,1
"115",63,69,56,60,63,60
"116",19,23,16,20,18,16
"117",7,10,3,7,3,3
"119",36,42,32,34,30,37
"120",1,4,1,2,2,1
"122",13,14,13,7,13,16
"123",27,26,21,26,17,21
"124",18,22,14,17,17,23
"125",5,6,8,8,5,5
"128",5,2,2,5,5,5
"129",8,13,11,9,9,12
"130",5,6,2,5,3,5
"131",2,3,1,1,1,3
"132",1,17,14,10,1,13
"133",15,15,14,11,18,14
"135",9,15,13,11,14,15
"136",9,12,7,10,6,12
"137",42,57,39,53,54,52
"138",3,2,4,3,3,2
"140",17,17,11,15,9,20
"141",3,4,5,4,2,4
"142",9,7,9,8,9,11
"143",1,1,1,14,14,11
"144",3,3,2,3,3,2
"145",23,19,26,15,24,15
"146",8,6,8,5,9,6
"147",23,22,17,17,17,18
"148",5,5,8,10,8,5
"149",9,9,5,10,9,10
"150",7,12,9,11,11,9
"152",14,16,10,11,9,10
"153",1,2,1,1,0,1
"154",9,10,4,11,7,12
"156",10,13,8,10,11,10
"157",7,5,8,8,7,6
"158",22,19,21,20,21,18
"159",8,11,8,5,4,8
"160",3,4,4,5,3,2
"161",5,5,5,6,5,7
"162",21,24,23,21,24,21
"163",9,9,8,9,10,6
"164",6,9,6,9,4,6
"165",6,9,8,9,5,7
"166",18,15,20,22,19,20
"167",5,5,6,5,6,7
"168",7,8,10,5,6,6
"169",2,3,3,3,3,3
"172",2,2,3,5,2,1
"173",11,12,10,11,12,11
"174",15,17,10,15,11,19
"175",8,8,9,7,11,7
"176",1,2,5,7,5,3
"178",9,7,10,11,7,6
"179",3,7,2,3,1,2
"180",26,25,23,23,25,25
"181",65,79,54,60,49,67
"184",6,11,8,17,14,15
"185",15,16,14,19,21,19
"186",32,34,28,29,25,31
"188",1,7,4,5,6,5
"190",7,8,6,6,7,5
"192",7,7,8,7,4,10
"193",6,7,7,7,6,5
"194",1,1,2,2,2,3
"195",8,7,5,5,4,8
"196",5,10,6,4,6,6
"197",2,2,3,2,0,2
"199",1,1,1,3,1,1
"200",5,4,4,8,7,7
"201",2,3,1,2,3,2
"202",12,21,20,15,14,12
"206",7,8,6,6,7,5
"207",1,1,1,1,1,1
"209",4,4,4,5,4,3
"210",2,3,2,4,3,5
"211",16,13,15,10,15,13
"212",3,4,3,3,4,3
"213",1,1,1,1,1,1
"214",7,6,7,5,4,5
"215",11,19,18,17,17,16
"217",13,18,16,23,17,18
"218",12,15,14,14,13,14
"219",14,10,5,7,6,9
"220",7,8,4,5,6,3
"221",4,2,1,2,3,1
"222",6,7,5,5,9,9
"223",6,3,5,4,3,2
"225",3,5,4,5,5,5
"226",9,11,10,9,11,10
"227",7,4,4,5,4,7
"228",3,3,3,3,5,1
"229",3,4,3,2,2,2
"230",2,3,2,2,1,2
"231",5,3,4,1,3,2
"232",35,32,25,36,28,32
"233",8,10,6,10,6,8
"234",6,6,4,7,2,4
"235",6,8,6,10,7,7
"237",1,3,2,2,2,2
"238",13,15,12,14,12,14
"239",18,26,23,21,19,20
"240",1,2,2,4,4,2
"242",2,1,3,2,1,3
"243",22,25,24,23,22,28
"244",7,5,8,4,11,9
"245",10,15,10,7,5,9
"246",19,21,24,22,13,21
"247",3,11,4,6,5,5
"248",3,4,4,5,3,4
"249",8,8,5,5,7,9
"250",55,53,45,51,42,38
"251",11,12,6,9,9,12
"252",15,15,13,12,10,16
"253",10,13,11,13,10,12
"254",6,6,5,3,3,4
"255",12,16,12,14,14,12
"257",2,2,2,2,1,1
"258",6,7,9,8,7,6
"259",13,14,15,9,9,9
"260",2,4,3,1,2,3
"262",6,8,5,6,3,5
"263",6,9,8,8,8,6
"264",19,15,17,19,13,14
"265",4,3,2,3,2,3
"266",17,16,15,17,16,22
"267",5,6,3,7,5,6
"269",13,12,14,16,12,13
"270",3,6,4,6,3,4
"271",6,6,3,4,4,4
"272",3,5,3,2,1,1
"275",3,3,4,5,2,3
"276",1,1,1,1,1,2
"277",8,8,7,11,10,9
"278",19,23,22,27,21,22
"279",109,104,90,100,100,104
"282",7,11,5,6,4,6
"283",9,10,10,9,10,11
"284",11,13,13,12,13,14
"285",5,9,8,6,7,7
"286",33,37,32,31,27,34
"287",4,5,2,3,4,2
"288",9,13,9,9,9,7
"289",4,3,3,3,1,2
"290",6,4,3,7,8,6
"291",10,9,6,6,7,8
"293",6,3,5,5,6,4
"294",14,11,11,9,11,12
"295",24,22,21,22,20,28
"296",24,24,23,28,26,24
"297",5,2,5,2,3,3
"299",4,4,2,2,3,3
"301",16,13,12,10,13,14
"302",5,4,1,2,2,2
"303",6,8,8,7,6,8
"304",2,3,2,2,3,2
"305",7,5,7,5,2,7
"306",25,30,22,27,27,27
"307",21,20,14,15,15,17
"308",9,14,6,9,7,8
"309",18,22,11,10,10,12
"310",23,22,16,14,16,19
"311",21,27,23,20,23,16
"314",10,5,9,8,8,8
"315",4,5,9,5,4,4
"316",53,55,57,64,54,59
"319",3,3,2,3,4,2
"320",9,10,7,8,5,12
"322",36,49,46,41,35,47
"323",2,2,1,2,2,2
"324",21,21,21,23,19,20
"325",9,9,4,11,7,8
"326",9,11,3,14,7,4
"327",3,2,6,7,8,7
"328",17,15,12,10,12,16
"329",8,8,6,3,6,9
"330",7,7,9,7,7,7
"331",8,8,12,11,11,12
"332",28,28,25,21,22,22
"333",3,1,3,3,1,1
"335",125,137,120,140,112,130
"336",1,2,3,6,1,1
"338",4,5,3,3,3,3
"340",21,23,22,24,17,19
"341",41,38,39,38,30,32
"342",5,4,5,5,5,9
"344",17,15,12,18,15,15
"345",12,11,12,11,13,15
"346",3,3,3,5,4,6
"347",3,2,2,3,4,2
"348",4,7,2,6,4,3
"351",8,5,6,8,5,8
"352",31,34,30,31,31,37
"353",6,14,6,13,10,9
"354",15,13,11,4,13,8
"356",11,10,11,7,8,11
"357",1,1,0,1,1,1
"359",13,6,10,10,10,9
"360",10,10,9,13,12,11
"361",26,33,34,28,21,26
"362",1,1,1,1,1,1
"363",3,4,1,3,3,4
"365",3,2,2,1,1,3
"366",7,7,4,18,8,18
"367",4,3,6,4,4,5
"369",4,4,6,5,7,4
"370",2,3,2,3,2,1
"371",9,13,11,9,9,8
"372",10,11,9,11,12,10
"374",9,7,8,5,4,5
"375",8,10,5,6,6,8
"376",13,18,13,15,18,16
"378",20,16,16,16,13,16
"379",8,9,6,9,6,6
"380",65,63,70,63,56,68
"381",2,4,3,2,3,4
"382",4,4,3,4,4,7
"383",4,6,5,4,6,7
"384",18,21,12,19,17,16
"386",2,2,2,2,2,2
"387",5,7,2,7,5,4
"388",22,22,20,19,21,23
"390",7,6,5,4,4,5
"391",7,6,4,2,4,6
"392",11,12,7,9,14,10
"393",14,12,12,12,11,15
"396",5,5,3,3,5,5
"397",13,10,8,7,10,12
"398",6,8,5,8,3,9
"399",5,4,3,5,3,6
"400",4,2,2,4,3,3
"401",3,3,5,4,2,4
"402",6,11,4,10,14,11
"403",10,10,6,9,3,8
"404",10,14,10,11,10,11
"405",50,51,41,44,40,49
"406",30,39,32,41,26,36
"407",4,8,4,5,7,9
"409",1,1,1,1,1,1
"410",1,4,2,2,2,1
"411",5,8,3,3,5,4
"412",5,5,3,4,3,4
"413",6,5,7,7,4,7
"414",1,1,2,1,2,1
"415",96,99,77,87,82,88
"416",8,9,7,6,5,8
"417",10,9,11,6,7,11
"418",5,6,3,6,5,5
"420",28,31,24,22,21,31
"421",17,13,17,15,12,13
"423",12,15,3,11,3,11
"424",2,2,3,3,2,7
"425",6,5,4,8,7,7
"427",17,19,16,18,17,11
"428",18,15,18,18,14,16
"429",11,11,8,8,7,8
"431",18,16,14,17,15,20
"432",6,7,6,6,3,4
"433",9,10,10,8,7,7
"434",3,4,6,3,2,5
"435",7,8,3,9,6,9
"436",2,3,4,6,3,4
"437",13,12,10,6,11,10
"438",17,19,17,13,16,18
"439",2,3,3,4,4,3
"440",19,15,17,11,13,14
"441",15,17,8,11,12,13
"442",12,12,8,11,11,13
"443",8,9,7,6,8,8
"444",5,3,6,7,9,7
"445",19,22,21,20,19,15
"446",20,15,12,13,14,16
"449",25,23,23,20,21,23
"450",37,41,30,33,30,30
"451",7,13,4,9,9,8
"452",10,12,11,15,13,12
"453",3,4,1,2,1,4
"455",4,8,8,4,4,10
"456",2,2,3,1,1,1
"457",8,7,8,7,6,9
"461",23,23,28,17,20,21
"462",7,5,7,8,2,4
"463",9,8,8,9,8,7
"464",2,4,2,4,3,3
"466",6,8,5,3,4,6
"467",26,30,28,27,23,21
"468",3,1,4,5,4,2
"469",16,11,15,15,10,13
"470",8,9,7,8,8,9
"472",3,7,6,5,3,7
"474",2,5,8,6,3,4
"475",4,1,2,4,1,2
"476",17,17,17,19,19,19
"479",4,2,2,3,4,5
"480",22,18,17,24,19,21
"481",6,9,8,13,10,13
"482",1,2,3,4,2,3
"483",9,11,9,10,8,11
"484",13,15,10,14,11,10
"486",2,1,1,1,1,1
"487",1,1,1,2,1,1
"488",5,4,4,2,4,3
"490",8,11,10,10,8,7
"491",26,25,24,21,15,20
"494",3,5,7,7,5,6
"495",27,27,30,25,30,33
"496",1,3,3,2,3,1
"498",15,14,16,10,14,15
"501",19,18,10,17,15,20
"502",7,9,10,11,7,4
"503",2,8,7,6,6,6
"504",1,1,1,2,2,1
"505",5,6,5,5,8,4
"506",14,10,9,11,6,8
"507",7,5,4,3,3,5
"509",2,2,3,3,4,2
"510",2,5,3,3,2,3
"512",18,22,17,17,16,15
"515",4,3,3,1,2,6
"516",4,5,6,5,3,5
"517",2,2,1,1,1,2
"518",6,7,10,5,7,8
"519",10,9,10,9,9,12
"520",11,12,11,14,15,13
"522",24,28,22,32,26,30
"523",12,15,12,15,14,14
"524",8,9,8,11,9,9
"525",38,31,26,35,26,33
"526",10,12,10,11,7,10
"527",9,7,8,9,10,8
"528",9,6,6,5,7,7
"529",7,12,9,5,9,10
"530",3,7,4,5,5,5
"531",3,4,1,0,2,2
"533",17,21,18,21,15,21
"535",8,10,7,9,7,13
"536",3,4,4,3,2,3
"537",7,8,4,2,2,5
"539",3,8,4,4,1,6
"540",8,1,3,2,4,4
"542",6,7,5,8,6,6
"544",14,11,3,5,8,10
"545",15,22,14,16,12,14
"546",1,1,5,1,2,2
"547",2,2,2,1,3,2
"548",92,87,74,87,80,84
"549",6,18,6,18,10,21
"550",2,4,4,2,3,3
"551",212,181,226,167,185,163
"552",249,202,247,189,213,181
"553",47,93,117,87,41,87
"554",22,25,17,24,16,24
"556",7,6,6,8,7,7
"557",5,7,4,6,4,6
"558",20,23,18,21,16,21
"559",5,4,5,6,4,5
"563",16,21,22,20,21,20
"564",29,18,28,19,27,20
"568",30,34,35,28,36,38
"569",13,14,10,11,10,12
"570",12,6,11,8,8,5
"571",9,9,8,9,7,9
"572",3,18,3,11,2,12
"573",4,4,3,4,4,2
"574",185,133,192,124,182,127
"575",89,106,96,92,85,100
"576",187,144,175,131,183,122
"577",6,6,4,4,4,5
"581",6,5,4,4,4,2
"583",24,20,30,25,31,25
"584",27,21,28,21,28,23
"585",30,27,27,25,23,24
"587",15,9,13,10,10,10
"588",12,7,13,2,10,4
"590",155,97,145,90,132,97
"591",228,147,208,124,193,140
"593",31,20,27,17,21,14
"594",4,3,5,2,3,2
"595",32,24,38,23,35,26
"597",67,42,58,39,61,43
"600",19,12,26,11,20,11
"602",1,9,0,8,1,7
"605",1,3,2,4,3,3
"607",5,6,4,4,5,3
"608",11,8,10,7,9,7
"609",64,68,55,66,55,65
"610",48,34,38,41,24,40
"611",40,45,36,41,35,38
"612",9,8,9,6,8,6
"613",2,6,1,4,2,7
"614",4,9,5,5,2,7
"615",16,9,16,14,13,10
"616",13,8,8,9,8,6
"617",16,11,16,10,12,13
"618",5,7,5,8,4,9
"619",65,70,62,61,64,72
"620",52,63,61,50,45,50
"621",6,4,8,2,10,2
"622",1,1,2,1,1,2
"625",60,54,50,52,53,56
"626",5,83,8,4,5,4
"628",18,45,20,46,22,46
"630",140,112,141,103,132,104
"635",13,7,11,5,14,5
"636",20,22,24,24,23,26
"637",22,10,17,8,21,7
"638",21,6,15,4,15,6
"639",143,151,125,131,118,144
"640",7,4,8,1,5,2
"642",13,16,12,9,13,14
"643",44,47,41,45,40,45
"644",32,27,32,27,38,26
"645",2,1,3,1,3,1
"647",25,26,26,27,23,29
"648",18,18,15,15,12,17
"649",245,253,219,253,226,238
"650",148,194,167,173,131,177
"651",6,5,3,5,4,7
"653",1,1,6,7,1,7
"654",10,7,10,6,13,8
"655",14,16,7,13,7,15
"656",4,2,4,4,3,4
"657",19,23,19,22,20,20
"658",25,21,26,17,27,18
"659",27,19,25,19,26,24
"661",93,69,87,54,82,60
"662",79,61,61,48,66,51
"663",19,21,15,18,18,18
"665",23,17,23,16,23,18
"666",8,9,8,9,6,9
"667",3,2,3,5,2,1
"668",5,10,2,3,3,4
"669",40,47,32,37,34,42
"670",5,2,3,3,4,4
"671",2,2,1,1,1,1
"672",31,27,29,26,30,28
"673",69,42,66,44,64,45
"676",13,10,15,11,7,13
"677",3,5,6,4,5,3
"678",26,27,25,26,20,24
"679",3,5,2,3,2,2
"680",29,32,28,34,28,29
"681",27,20,36,21,28,17
"682",2,2,3,3,3,3
"683",7,5,7,6,7,6
"684",3,3,3,3,4,3
"687",4,9,4,3,3,5
"688",26,35,25,20,25,25
"689",37,45,40,45,36,41
"690",3,4,3,4,2,5
"691",12,5,14,6,7,5
"692",63,67,65,66,62,67
"694",26,20,26,19,27,24
"695",31,19,31,22,27,22
"696",25,2,2,1,16,1
"697",11,6,9,11,11,5
"698",2,3,14,7,15,12
"699",19,11,17,12,18,12
"700",2,10,3,9,2,6
"701",18,17,21,14,21,14
"702",15,12,13,12,17,14
"703",11,9,12,9,13,8
"704",31,21,32,32,36,30
"705",16,9,14,1,2,2
"706",20,20,9,18,21,17
"707",32,31,32,29,32,35
"708",17,22,15,16,16,17
"709",7,5,6,6,8,6
"710",6,5,5,5,6,2
"711",11,10,12,11,15,7
"712",42,31,39,19,35,22
"713",4,2,7,1,4,1
"714",13,15,11,19,12,20
"715",33,29,28,21,31,25
"716",226,166,172,127,182,132
"718",11,5,9,9,11,6
"719",10,9,9,5,10,6
"721",13,13,11,15,13,14
"722",28,27,24,28,28,28
"723",90,89,71,87,72,84
"725",22,30,22,26,32,29
"728",9,8,9,9,9,10
"729",270,314,246,287,261,272
"730",40,20,32,22,30,23
"731",55,65,60,58,50,52
"733",80,83,73,70,77,77
"734",13,15,13,12,9,15
"735",6,3,6,3,6,5
"738",7,7,11,7,7,6
"739",1,4,3,3,4,3
"744",5,5,3,4,4,4
"747",70,42,64,38,61,38
"748",17,11,28,15,26,11
"749",6,3,9,3,8,2
"750",55,52,51,55,48,57
"751",18,10,14,10,14,12
"752",34,37,36,39,33,40
"753",35,25,32,27,38,22
"754",32,22,27,19,31,26
"755",14,9,9,4,11,8
"756",28,27,26,13,25,26
"757",12,8,10,6,13,5
"758",13,12,14,11,15,8
"759",70,48,76,53,71,51
"760",10,6,11,3,8,6
"761",16,10,25,13,17,8
"762",14,9,11,13,9,9
"763",9,2,7,4,6,1
"764",17,12,16,15,14,10
"765",5,2,6,3,6,4
"766",6,2,6,5,5,4
"769",8,3,12,9,11,5
"770",24,18,18,17,25,18
"771",15,13,13,7,12,8
"772",23,15,16,11,21,14
"773",3,5,3,4,4,3
"774",10,9,6,10,8,3
"775",7,3,10,5,9,2
"776",42,49,42,52,40,50
"777",26,29,30,30,29,29
"778",2,12,2,5,1,10
"779",14,9,10,10,10,9
"780",8,12,8,12,12,11
"781",7,4,4,8,7,9
"783",5,2,3,2,4,1
"784",64,66,59,74,61,67
"785",10,10,8,9,11,10
"786",35,22,36,23,31,18
"788",87,95,84,90,86,91
"790",238,296,218,235,228,240
"791",51,50,46,55,46,57
"792",8,6,8,9,8,7
"795",39,48,39,42,32,41
"796",11,5,8,2,4,4
"800",10,10,10,7,9,8
"801",17,15,18,14,11,16
"802",5,21,8,23,5,21
"803",8,5,4,3,6,3
"804",282,346,264,284,267,278
"805",4,2,2,4,5,4
"806",51,48,45,43,41,50
"808",18,24,18,20,17,20
"809",6,1,4,3,7,3
"810",4,1,5,2,6,2
"811",11,9,14,11,11,12
"812",14,13,12,9,6,12
"813",28,13,23,12,25,11
"814",14,10,9,7,10,13
"815",16,15,15,12,14,16
"816",3,3,3,2,2,4
"817",19,20,15,15,17,25
"818",1,4,2,2,2,6
"820",57,65,55,62,45,62
"822",27,24,18,21,17,24
"823",5,10,4,5,6,7
"824",13,10,12,10,8,12
"826",26,30,24,32,25,28
"827",1,1,0,0,1,1
"830",17,13,10,13,12,12
"831",10,5,11,6,7,8
"832",38,36,28,49,41,35
"833",2,3,2,4,2,2
"834",6,7,5,3,3,3
"836",66,64,62,62,52,55
"837",9,5,7,4,7,3
"838",9,8,8,6,6,7
"840",3,16,6,18,6,19
"841",13,18,16,12,18,16
"842",5,15,4,15,2,15
"843",5,5,6,4,3,6
"844",32,34,31,34,33,42
"845",51,25,54,31,57,29
"846",4,1,2,0,3,0
"847",3,1,3,3,4,1
"848",8,9,9,8,6,11
"849",3,6,5,3,3,3
"850",2,1,5,6,3,5
"852",5,5,5,6,6,5
"854",19,23,15,21,21,29
"855",10,7,14,7,14,6
"856",121,132,115,116,114,122
"857",15,16,18,13,15,15
"859",1,1,2,2,2,2
"860",16,12,14,9,12,6
"861",5,2,7,2,5,4
"863",56,63,52,57,48,63
"864",4,8,3,7,5,6
"865",23,13,20,14,24,14
"866",16,16,15,18,13,16
"867",56,57,56,59,52,58
"869",2,6,1,5,1,9
"870",4,11,1,9,3,11
"872",23,44,18,34,19,42
"873",8,25,7,20,9,22
"874",4,9,4,7,6,9
"877",13,34,12,30,15,31
"878",7,13,4,13,5,14
"879",8,16,8,16,7,15
"882",9,26,8,27,7,24
"887",6,10,5,13,5,11
"891",5,9,5,10,6,10
"893",4,20,3,18,4,17
"898",2,4,1,6,3,6
"899",9,11,8,14,4,15
"900",1,4,1,1,1,5
"901",5,10,4,13,4,11
"903",4,9,5,9,4,8
"907",3,7,1,10,3,7
"909",4,3,2,2,2,2
"912",3,11,6,14,5,17
"913",5,6,4,6,2,7
"914",6,11,4,10,4,13
"915",2,6,1,5,1,4
"916",3,3,1,3,2,2
"918",2,10,6,7,3,5
"921",3,12,5,9,5,13
"922",7,17,7,14,10,15
"923",3,12,5,12,2,10
"924",30,95,33,88,36,89
"926",6,10,5,10,5,8
"928",7,18,6,20,5,22
"933",2,6,2,5,2,5
"935",1,6,2,6,1,4
"942",2,22,1,22,1,19
"945",1,5,2,5,1,5
"946",5,15,6,10,3,14
"951",12,56,45,54,15,54
"952",2,8,1,5,1,6
"954",3,17,4,15,8,20
"958",2,4,1,5,1,5
"962",5,17,3,14,1,17
"964",7,23,5,21,7,26
"967",3,13,5,7,5,10
"969",0,1,0,2,0,2
"970",4,10,2,10,4,5
"975",1,1,1,1,1,1
"978",1,9,2,5,1,7
"983",8,23,7,23,3,16
"988",4,8,4,6,2,5
"989",5,11,6,11,5,11
"993",6,17,6,15,7,16
"998",1,17,3,23,5,20
"999",6,24,6,17,6,18
"1008",4,9,2,9,2,7
"1010",6,11,4,11,5,8
"1017",7,19,4,21,6,15
"1023",1,2,1,2,1,1
"1025",8,17,8,15,9,15
"1026",0,0,0,0,0,2
"1030",9,27,11,23,10,25
"1032",4,10,4,10,4,9
"1034",5,16,5,8,3,10
"1042",10,26,16,37,7,29
"1043",1,2,1,2,1,2
"1044",1,3,1,3,1,3
"1048",2,13,3,13,3,13
"1049",1,8,1,8,2,7
"1051",4,13,3,13,5,12
"1058",3,9,2,6,3,6
"1060",2,5,2,3,2,4
"1061",8,20,4,17,7,19
"1066",6,16,5,11,2,12
"1069",1,4,1,6,1,6
"1070",30,36,30,32,32,37
"1071",3,3,4,4,4,2
"1073",1,7,1,4,11,5
"1074",12,9,14,8,14,5
"1075",10,8,9,6,10,8
"1076",8,6,8,7,10,7
"1077",19,15,19,13,17,16
"1078",13,8,15,9,10,8
"1079",1,6,1,7,9,8
"1080",3,4,3,3,4,4
"1083",31,64,23,55,21,64
"1085",81,86,59,69,67,76
"1086",50,43,62,38,55,33
"1087",9,7,6,6,7,5
"1088",24,15,23,17,26,15
"1089",8,5,7,5,7,6
"1090",3,1,1,1,2,2
"1091",6,5,8,6,6,5
"1092",11,10,9,9,11,10
"1093",1,2,1,2,1,2
"1094",38,23,36,24,29,24
"1095",19,14,21,14,23,18
"1096",7,9,12,8,10,9
"1097",22,16,26,16,20,16
"1098",16,11,15,6,15,7
"1099",13,10,19,7,15,9
"1100",17,13,15,12,16,13
"1101",19,18,19,15,16,13
"1102",18,14,20,17,22,17
"1103",12,11,17,9,12,9
"1104",25,19,27,16,24,24
"1105",14,12,19,12,15,10
"1106",8,6,4,3,6,5
"1107",1,2,3,1,3,1
"1108",3,2,3,2,3,2
"1109",134,130,123,126,132,125
"1110",25,30,21,21,18,16
"1111",4,3,4,3,2,4
"1113",7,5,10,6,12,7
"1114",32,26,30,21,30,24
"1115",13,17,7,9,7,9
"1116",4,2,1,3,3,2
"1117",3,4,3,3,4,5
"1118",2,1,2,1,3,1
"1119",14,14,10,12,13,9
"1120",161,122,138,112,142,104
"1121",146,120,132,101,132,104
"1122",16,12,14,15,14,13
"1123",3,5,5,5,2,4
"1124",4,3,3,1,5,1
"1125",4,3,5,2,3,1
"1126",7,9,7,5,5,6
"1127",6,5,5,5,8,6
"1128",31,2,1,23,29,23
"1129",1,5,4,4,3,3
"1130",21,21,22,19,20,18
"1131",95,111,99,99,88,100
"1133",5,1,3,3,3,2
"1134",11,2,13,8,14,5
"1135",52,55,41,45,44,51
"1136",9,4,12,3,15,6
"1137",2,9,18,12,16,10
"1138",213,217,196,206,193,199
"1139",25,3,5,1,2,16
"1140",7,5,5,5,7,5
"1141",21,17,15,17,20,23
"1142",10,11,11,9,8,10
"1143",9,12,11,10,10,13
"1144",2,5,3,1,4,3
"1145",0,6,1,3,3,3
"1146",2,1,5,2,1,2
"1147",8,4,7,11,8,9
"1148",18,16,14,18,17,17
"1149",2,3,5,2,3,3
"1150",11,11,13,10,9,13
"1152",13,11,12,13,8,11
"1153",7,7,10,5,4,11
"1154",25,17,22,15,22,10
"1155",45,47,37,43,36,41
"1156",7,6,8,5,5,5
"1157",5,5,5,3,64,2
"1158",3,2,3,2,4,2
"1159",5,5,3,7,4,6
"1160",27,26,29,27,30,27
"1162",32,33,31,34,28,32
"1163",9,5,6,7,8,6
"1164",14,20,13,12,11,16
"1166",15,16,15,15,15,10
"1168",49,46,49,43,43,44
"1169",37,38,34,39,33,37
"1170",18,17,11,12,14,16
"1171",19,20,17,14,12,17
"1172",24,22,20,19,18,22
"1173",46,44,35,38,42,47
"1174",67,68,58,66,53,69
"1175",74,78,61,70,53,73
"1177",8,8,12,4,8,7
"1179",1,0,3,1,0,2
"1180",1,1,1,2,1,1
"1181",12,7,8,6,12,7
"1182",12,3,8,5,8,4
"1183",9,5,10,5,10,9
"1184",60,36,58,43,67,42
"1187",59,60,48,57,56,56
"1188",13,13,14,17,13,16
"1190",8,4,11,5,8,3
"1191",1,2,1,1,2,1
"1192",42,52,41,46,35,43
"1193",2,1,2,1,2,3
"1194",44,50,40,44,36,39
"1197",9,12,7,12,8,12
"1198",24,9,20,5,16,12
"1199",5,2,3,3,3,4
"1200",6,5,4,6,4,5
"1201",18,21,22,27,19,27
"1202",4,2,5,4,6,2
"1203",4,2,5,1,4,2
"1204",167,189,153,154,141,172
"1205",19,13,15,10,18,13
"1206",30,36,30,40,31,29
"1207",5,5,4,4,4,3
"1208",15,19,13,15,12,16
"1209",45,51,46,50,42,52
"1210",7,12,13,14,10,7
"1211",18,19,14,18,17,19
"1213",4,6,11,7,7,6
"1214",7,8,3,5,3,2
"1215",3,4,1,5,3,2
"1216",3,6,3,6,2,7
"1217",10,8,10,8,11,7
"1218",6,4,7,3,6,3
"1219",7,6,9,5,8,7
"1220",47,35,44,35,46,38
"1222",1,3,2,3,2,2
"1223",5,4,6,3,8,3
"1224",17,22,18,24,15,20
"1225",8,8,4,6,7,5
"1226",9,12,7,6,6,8
"1229",101,71,100,67,87,72
"1230",11,12,9,11,13,12
"1231",82,91,79,77,75,77
"1232",50,55,41,49,55,49
"1234",23,26,20,30,17,27
"1235",9,14,12,9,10,10
"1236",16,15,16,15,15,13
"1238",6,3,6,2,5,4
"1239",42,30,42,29,40,25
"1240",2,3,2,2,6,4
"1241",8,10,7,9,10,9
"1242",3,4,2,3,3,2
"1243",60,63,52,54,49,57
